time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, velocity, turn_rate, reflection, error, command
101, 1.999695390312782, -0.03490481287456703, -1.0, 1.999695390312782, -0.03490481287456703, -1.0, 5.05, 0.0, 0.0, 1.999997527657195, -0.003144736095169193, -0.09009009009009016, 50, -31, 28, -12, -9.6
214, 10.99421283348464, -0.3490002831970758, -2.0, 10.99421283348464, -0.3490002831970758, -2.0, 12.621, 0.0, 0.0, 10.99864026737246, -0.1594420264417618, -0.9950694755714922, 67, -15, 17, -23, -18.38
314, 17.98461957676666, -0.7153519768976826, -3.0, 17.98461957676666, -0.7153519768976826, -3.0, 19.61993386609474, 0.1221668450609846, 1.0, 17.9962538265441, -0.3422109420081423, -1.49615395373556, 70, -17, 10, -30, -25.47
445, 26.91753494153856, -1.81217606754401, -7.0, 27.91008109317989, -1.934045410949157, -7.0, 29.56228951411127, 0.6432236254157333, 3.0, 27.97455392530686, -1.000638720151662, -3.77524442313487, 76, -27, 10, -30, -30.0
552, 34.79599696563622, -3.201361488879453, -10.0, 34.80373536426534, -3.14958265461767, -10.0, 36.47918929639761, 1.370219087442263, 6.000000000000001, 34.94521081199768, -1.640906295490258, -5.24799643378203, 65, -33, 10, -30, -33.0
655, 41.61658741913287, -4.776018869286508, -13.0, 41.62432581776199, -4.724240035024725, -13.0, 43.72101968310472, 2.387991974763222, 8.0, 41.89255320385391, -2.497897363306724, -7.032209484245902, 71, -34, 10, -30, -36.0
784, 50.17609606578926, -7.557171818661035, -18.00000000000001, 50.18383446441837, -7.505392984399252, -18.00000000000001, 52.80605459872031, 4.31907575907857, 12.0, 50.76458552044091, -4.01019448141416, -9.673473931861245, 72, -38, 12, -28, -39.13
885, 56.66638304775677, -10.17941797257242, -22.00000000000001, 56.67412144638589, -10.12763913831064, -22.00000000000001, 59.44003317367363, 6.096644960842683, 15.0, 57.61517297525541, -5.448753317172432, -11.85926221260029, 68, -40, 11, -29, -42.65
1012, 64.68544176545208, -14.26533247022834, -27.00000000000001, 64.69318016408121, -14.21355363596656, -27.00000000000001, 67.79390057246037, 9.137204035007878, 20.0, 66.33999406488005, -7.657258910111047, -14.20485373898313, 70, -45, 10, -30, -47.7
1128, 71.39480630901549, -18.62244475034856, -33.0, 71.4025447076446, -18.57066591608677, -33.0, 74.94285639660546, 12.47081688361852, 25.0, 73.97945990351322, -10.03182449150838, -17.26674653884288, 68, -47, 9, -31, -51.37
1255, 78.28920629708628, -24.40753323752741, -40.00000000000001, 79.06298913883437, -24.99854201295217, -40.00000000000001, 82.3453532054689, 16.91868569854174, 31.0, 83.32913616167591, -13.57915501847497, -20.77708468837091, 68, -51, 11, -29, -54.52999999999999
1362, 83.23895376539211, -29.35728070583325, -45.00000000000001, 84.0127366071402, -29.948289481258, -45.00000000000001, 88.31832567493914, 21.25830421621707, 36.0, 89.76827285645671, -16.3246091932751, -23.09194131295011, 69, -53, 10, -30, -58.12000000000001
1462, 87.64419650274098, -34.79730243603204, -51.00000000000001, 88.41797934448905, -35.3883112114568, -51.00000000000001, 93.5203394532809, 25.94221846072908, 42.0, 96.06731368497471, -19.3778181020567, -25.85993818013497, 70, -59, 9, -31, -61.8
1566, 92.00130878286119, -41.50666697959544, -57.00000000000001, 92.23045258959425, -41.25900518707477, -57.00000000000001, 98.32202068451208, 31.27502572835486, 48.00000000000001, 102.2117753566926, -22.73126271391321, -28.62425661565284, 69, -58, 81, 41, -16.30000000000001
1667, 95.50130878286119, -47.56884480608651, -60.00000000000001, 95.73045258959425, -47.32118301356584, -60.00000000000001, 102.394502946182, 36.67939222484489, 53.00000000000001, 108.3062499152532, -26.17471735352404, -29.46699353833431, 67, -1, 82, 42, -12.52
1773, 98.89497612458555, -53.69118275606229, -61.00000000000001, 99.12411993131862, -53.44352096354161, -61.00000000000001, 106.6685932406078, 42.35130161720076, 53.00000000000001, 114.3562156560628, -29.6957845972771, -30.19931450268253, 67, -14, 85, 45, -6.100000000000001
1873, 102.1812770640868, -59.87181590607477, -62.00000000000002, 102.4104208708198, -59.6241541135541, -62.00000000000002, 110.8418685318844, 48.09532227726289, 54.0, 120.3776551444825, -33.2654157389078, -30.66031988206035, 71, -4, 90, 50, 1.869999999999998
1974, 105.467578003588, -66.05244905608726, -62.00000000000002, 105.6967218103211, -65.80478726356659, -62.00000000000002, 114.9751341108926, 53.5803509602677, 53.00000000000001, 126.3821503193953, -36.8634760072258, -30.93121208059047, 68, 2, 94, 54, 9.619999999999997
2074, 108.8612453453124, -72.17478700606303, -61.00000000000001, 109.0903891520454, -71.92712521354236, -61.00000000000001, 119.4078967332374, 59.2540283862361, 52.0, 132.4152950744323, -40.41328788460331, -30.4719170058378, 72, 12, 92, 52, 13.66
2182, 112.9815499445928, -79.03212541167993, -59.00000000000001, 113.2106937513258, -78.78446361915926, -59.00000000000001, 124.3367921243138, 65.12805717607242, 50.0, 139.3745107513858, -44.3590852896464, -29.55275142471675, 71, 15, 91, 51, 18.17
2302, 117.338662224713, -85.74148995524332, -57.00000000000001, 117.5678060314461, -85.49382816272265, -57.00000000000001, 129.796897872202, 71.19211895196796, 48.00000000000001, 146.3961353450686, -48.19272430048041, -28.63348410620891, 68, 22, 89, 49, 24.3
2422, 122.6287294953453, -93.02264290461785, -54.00000000000001, 122.8578733020783, -92.77498111209718, -54.00000000000001, 135.6517420204266, 77.04696310019258, 45.0, 154.3969675280959, -52.31421485354922, -27.25447794728045, 69, 29, 88, 48, 30.95
2541, 127.7710303728376, -99.1509984495697, -50.00000000000001, 128.0001741795707, -98.90333665704901, -50.00000000000001, 141.8421384166533, 82.62082105116185, 42.0, 161.6388147497884, -55.71357491357006, -25.14560025402176, 70, 34, 87, 47, 37.45000000000001
2661, 133.3282973365096, -104.9057168522789, -46.00000000000001, 133.5574411432426, -104.6580550597582, -46.00000000000001, 148.9196120793102, 87.57652146123489, 35.0, 168.9404995817196, -58.9824277115934, -24.11733358785643, 72, 42, 88, 48, 45.25
2783, 140.2226973245804, -110.6908053394578, -40.00000000000001, 140.4518411313134, -110.4431435469371, -40.00000000000001, 156.7089751910937, 91.89423593914878, 29.0, 177.3223373607414, -62.26035319063693, -21.35921536832404, 73, 47, 87, 47, 51.70000000000001
2906, 146.8549979050207, -115.1643485672237, -34.0, 147.9131792843088, -115.4758796781738, -34.0, 164.5212998823446, 95.21037102663724, 23.0, 185.8521982738683, -65.13114973562423, -18.60109327760165, 69, 53, 88, 48, 59.29
3022, 153.9830500985276, -118.7962725651401, -27.00000000000001, 155.0412314778157, -119.1078036760902, -27.00000000000001, 172.133556238771, 97.68374304961432, 18.0, 193.5852506217049, -67.18051582922931, -14.84296935317241, 69, 62, 89, 49, 67.20000000000001
3132, 161.5005910648149, -121.5324337117454, -20.0, 161.6190798233171, -121.5019446793699, -20.0, 180.0160225218557, 99.21593928248797, 11.0, 200.4416586929013, -68.59107187605352, -11.62515702370718, 73, 67, 92, 52, 74.14000000000001
3246, 169.3536085323962, -123.0589056747578, -11.0, 169.4720972908984, -123.0284166423822, -11.0, 187.9850862091972, 98.79829835166928, -3.0, 208.3466561980948, -69.8203051504505, -8.838750248904285, 70, 73, 92, 52, 81.93000000000001
3371, 178.3522377888037, -123.2159773326934, -1.000000000000003, 178.4707265473059, -123.1854883003178, -1.000000000000003, 196.9603216772502, 96.56052081737236, -14.0, 217.3187637323625, -70.52832096491795, -4.512030802910605, 74, 80, 90, 50, 88.38000000000001
3492, 187.2155075659136, -121.653143733691, 9.999999999999996, 187.3339963244158, -121.6226547013154, 9.999999999999996, 203.8118286921887, 93.21881756539922, -26.0, 226.3186605371351, -70.48522220107308, 0.2743763009620253, 63, 96, 83, 43, 91.08000000000001
3622, 195.6177314043884, -118.4278321877833, 21.0, 195.7362201628906, -118.3973431554077, 21.0, 210.7094212958467, 88.56633260852259, -34.0, 235.2670085134055, -69.52237823885667, 6.141408288743383, 64, 74, 11, -29, 43.67000000000001
