time,x_pid,y_pid,theta_pid,x_state,y_state,theta_state,x_gyro,y_gyro,theta_gyro,x_kalman,y_kalman,theta_kalman,velocity,turn_rate,reflection,error,command
4.524,508.266510920271,-74.51160141607166,-52.0,508.9306862046122,-74.74935229796722,-53.00000000000001,529.8334674680083,1.226325843592681,-32.9,512.6241202796112,-62.56905418236808,-49.6499986331423,121,-33,23,-17,-44.15733333333334
4.64,515.6853806195357,-86.38427476226161,-58.00000000000001,516.3495559038771,-86.6220256441572,-58.0,541.2433681753021,-7.340469931357033,-36.9,520.7572769462022,-73.96430594074032,-54.48333233690244,123,-48,36,-4,-37.44866666666667
4.746,521.7885109357525,-97.86259346942768,-62.00000000000002,522.4526862200937,-98.10034435132324,-62.0,550.3954229477604,-15.55213903342902,-41.9,527.5207164834354,-85.0663726684352,-58.64999934082872,116,-25,67,27,-11.774
4.863,528.144377932106,-110.3366848080648,-63.00000000000002,528.3545627167078,-109.683429165772,-63.00000000000001,560.6803252467352,-25.10946003361223,-42.9,534.0893680958058,-96.28478681640216,-59.64999954224218,120,-4,53,13,-16.54933333333334
4.972,533.6384153347351,-122.1186860395413,-65.00000000000001,533.848600119337,-121.4654303972485,-65.0,570.3418335388419,-34.0874875743114,-42.9,540.328956398869,-107.6895024116407,-61.31666631714872,121,-33,7,-33,-54.38466666666667
5.083,537.8708013426781,-134.4104275223324,-71.00000000000001,538.0809861272801,-133.7571718800396,-71.00000000000001,579.3463334580777,-44.0529650944549,-47.9,545.3771153619615,-119.6693225723672,-67.14999974629636,121,-59,45,5,-29.21266666666666
5.195,541.2354489290109,-146.9674632640903,-75.00000000000001,541.7044527587153,-147.2801334480865,-75.0,586.8032025567414,-54.27888506506838,-53.90000000000001,549.823242387292,-132.9445609685176,-71.48333317240422,113,-20,93,53,12.33466666666666
5.31,545.5616868502601,-160.2822544922224,-72.00000000000001,546.0306906799646,-160.5949246762187,-72.0,595.0581038690357,-65.19382113104164,-52.9,554.882189349343,-145.9985663168831,-68.81666656550334,119,19,64,24,1.198666666666664
5.421,549.6548907163784,-173.6705210757049,-73.00000000000001,549.8315228413601,-173.0268865037382,-73.00000000000001,603.5954361861636,-74.980348906863,-48.90000000000001,559.5445028930458,-158.1337561555386,-68.98333324469037,117,-24,9,-31,-42.688
5.522,552.1498310061916,-185.4082922845106,-78.00000000000001,552.3264631311732,-184.7646577125438,-78.00000000000001,611.2608728630371,-84.7564426846887,-51.9,562.9225531872918,-169.6484761351796,-73.64999993333389,123,-51,5,-35,-51.562
5.625,553.6122631270533,-197.3188461042064,-83.00000000000001,553.9107645954402,-197.667757683881,-82.99999999999999,617.610023091119,-94.87785540136248,-57.9,565.443890128541,-182.4016271194929,-78.81666662214452,116,-48,54,14,-17.72866666666667
5.732,554.745287782773,-210.2693771793991,-85.0,554.956633508412,-209.622094060982,-84.99999999999999,623.5570191033954,-106.0155892117015,-61.90000000000001,567.2900681729031,-194.2587611167333,-81.14999997154545,118,1,91,51,15.75666666666666
5.84,556.3295892470397,-223.1724771507363,-83.00000000000001,556.5409349726789,-222.5251940323191,-82.99999999999999,629.661333083999,-117.4479533952905,-61.90000000000001,569.6628481324082,-207.0403852413809,-79.48333331528406,120,16,40,0,-14.732
5.951,557.4626139027592,-236.123008225929,-85.0,557.6739596283984,-235.4757251075118,-84.99999999999999,636.6215916785269,-128.5435563215538,-57.9,571.8121966064444,-219.8614733830777,-80.48333331723487,118,-35,13,-27,-38.57
6.055,557.6894951864439,-249.1210282629621,-89.00000000000001,557.9008409120831,-248.4737451445449,-89.0,642.548805191792,-139.6442408035201,-61.90000000000001,573.0619554761851,-232.8012609689504,-84.48333332215385,121,-41,20,-20,-37.62266666666667
6.162,557.0614637115285,-261.104582680017,-93.00000000000001,557.2204734809247,-261.4559290963544,-93.0,647.7043855845674,-151.1696851252645,-65.9,573.4060360423687,-245.7967066544194,-88.48333332556982,118,-30,62,22,-5.606666666666666
6.272,556.3287603241273,-275.085396166581,-93.00000000000001,556.5401060497665,-274.4381130481639,-93.0,652.9263926065609,-163.4125092546168,-66.9,573.7123129863834,-258.7930982472256,-88.6499999948076,121,-5,43,3,-15.91133333333333
6.383,555.1957356684078,-288.0359272417737,-95.00000000000001,555.4070813940469,-287.3886441233566,-95.0,658.1087735797772,-175.5624314127396,-66.9,573.6404639655127,-271.7928996964094,-90.31666666278451,119,-27,19,-21,-36.21133333333333
6.49,553.0056531578444,-301.8635640101056,-99.00000000000004,553.2169988834837,-301.2162808916885,-99.00000000000001,662.4478208836153,-187.4194354396874,-69.9,572.627314090192,-285.7561918343737,-94.14999999720814,118,-36,32,-8,-30.06333333333334
6.602,550.306240505718,-313.5560047875284,-103.0,550.5175862313573,-312.9087216691113,-103.0,666.1749298239992,-200.3323072715655,-73.9,570.9261324489735,-297.6349956892903,-98.14999999806123,120,-29,49,9,-17.284
6.702,547.4031777585221,-325.1995535028404,-104.0,547.3726015885616,-325.5225661106993,-104.0,669.3270343785751,-212.0145261052041,-74.9,568.8588765049714,-310.4695760432398,-99.14999999865364,121,-13,51,11,-13.804
6.811,544.0385301721894,-337.7565892445983,-105.0,544.2667730473314,-337.1136760261681,-105.0,672.460410660167,-224.4890199657966,-75.9,566.744166901473,-322.2817732686874,-100.149999999065,118,-12,35,-5,-25.23
6.911,540.33032623969,-349.1692674401401,-108.0000000000001,540.2495521204571,-349.477410738005,-108.0,675.1802263494093,-236.1767315731452,-76.90000000000002,563.8603489816428,-334.9578765423779,-102.8166666659728,120,-31,26,-14,-33.582
7.022,535.0858339318672,-362.1498414040751,-112.0000000000001,535.3796664060503,-361.5308008473733,-112.0,677.286891805239,-249.3290834790673,-80.90000000000002,560.0993156320901,-347.401936496571,-106.8166666661848,120,-33,37,-3,-27.60800000000001
7.142,529.1691782674974,-374.8381504225883,-115.0,529.4630107416804,-374.2191098658864,-115.0,678.8425978096014,-263.8861909811774,-83.9,555.3531532737251,-360.5728872165471,-109.8166666663321,122,-24,36,-4,-28.942
7.265,521.8970339638023,-387.9574460296792,-119.0000000000001,522.1908664379852,-387.3384054729773,-119.0,679.6607561712481,-278.9930522665427,-86.9,549.3359249134955,-374.313082370214,-113.6499999997602,123,-34,26,-14,-38.18333333333334
7.389,513.7274484385769,-400.5375045488605,-123.0000000000001,514.02128091276,-399.9184639921586,-123.0,679.4250835823015,-293.9952012602975,-90.90000000000002,542.3748866566337,-387.6000664669347,-117.6499999998335,121,-29,70,30,-4.524000000000002
7.501,506.6471409833816,-411.440221932151,-123.0000000000001,506.9409734575645,-410.8211813754492,-123.0,678.9831913647391,-307.3158737383693,-91.9,536.3085155045204,-399.0978549953781,-117.8166666665546,119,7,72,32,4.929999999999999
7.611,499.5668335281862,-422.3429393154415,-123.0000000000001,499.3160269673541,-422.5625693266851,-123.0,679.0064216852892,-320.6258534660851,-89.9,529.8476474865887,-411.5178865756466,-117.4833333332505,121,-8,27,-13,-27.12466666666666
7.713,491.925625248384,-432.8601602423158,-126.0000000000001,491.674818687552,-433.0797902535594,-126.0,678.8189705604899,-332.5583811981212,-90.90000000000002,523.3181955557368,-422.7591613024155,-120.149999999939,117,-33,32,-8,-25.32666666666667
7.822,483.7444601647361,-442.9630577412564,-129.0,484.1229739949539,-442.4055417910431,-129.0,677.7017172058532,-345.5905776722983,-94.90000000000002,516.7270045004705,-432.7869327633622,-123.3166666666256,120,-11,85,45,18.52133333333333
7.94,475.5154666326415,-454.2892956625057,-126.0000000000001,475.8939804628593,-453.7317797122923,-126.0,676.2340453656049,-359.7929444950974,-95.90000000000002,509.5199625147976,-444.7893719244973,-120.9833333333082,121,27,78,38,23.52866666666666
8.052,468.2459588875218,-465.0667841057212,-124.0,468.6244727177396,-464.5092681555079,-124.0,676.4942091050054,-373.3424470257698,-88.9,503.3868029798928,-456.2516733565572,-118.1499999999796,121,3,20,-20,-19.33333333333333
8.162,460.4223635865451,-475.4490457363359,-127.0,460.199062393611,-475.69016529617,-127.0,676.5166714810746,-386.2124274236439,-89.9,496.2147051167659,-468.2750261436018,-120.8166666666517,117,-25,25,-15,-18.77266666666667
8.262,453.0344258826372,-484.9051747796167,-128.0,452.8111246897031,-485.1462943394507,-128.0,676.1420179652843,-397.5062148637857,-91.9,489.8586344612639,-478.4534526340897,-121.9833333333232,113,-10,61,21,9.067333333333332
8.372,444.6090155585085,-496.0860719202787,-127.0,444.9875293887264,-495.5285559700655,-127.0,675.927770157151,-411.1445321308356,-90.90000000000002,483.1663811888498,-489.5985747122844,-120.9833333333263,124,19,48,8,4.195333333333332
8.495,435.5817902112278,-508.0656045709881,-127.0,435.3584890182936,-508.3067241308221,-127.0,676.2087631215553,-425.77883470916,-88.9,475.0097034137228,-503.3633343423233,-120.6499999999949,119,-18,15,-25,-23.432
