time, error, delta, speed
0, -28, -67.19999999999999, 220
0.1, -26, -37.20000000000001, 220
0.2, 21, 71.00000000000001, 220
0.3, 40, 71.70000000000001, 220
0.4, -12, -68.1, 220
0.5, -41, -86.90000000000001, 220
0.6, -31, -38.00000000000001, 220
0.7, 43, 126.5, 220
0.7999999999999999, 43, 56.8, 220
0.9, 42, 58.70000000000001, 220
1.0, -23, -92.09999999999999, 220
1.1, -41, -72.6, 220
1.2, 24, 97.30000000000002, 220
1.3, 44, 82.70000000000001, 220
1.4, 10, -14.5, 220
1.5, -40, -99.50000000000001, 220
1.6, -41, -55.90000000000001, 220
1.7, 40, 135.4, 220
1.800000000000001, 40, 58.4, 220
1.900000000000001, 38, 57.60000000000001, 220
2.0, 40, 68.2, 220
2.100000000000001, 42, 75.0, 220
2.200000000000001, 43, 79.6, 220
2.300000000000001, 46, 90.10000000000002, 220
2.400000000000001, 45, 89.3, 220
2.500000000000001, 16, 25.2, 220
2.600000000000001, 30, 89.40000000000001, 220
2.700000000000001, 44, 112.0, 220
2.800000000000001, 39, 90.40000000000001, 220
2.900000000000001, -39, -87.90000000000001, 220
3.000000000000001, -41, -18.6, 220
3.100000000000001, -43, -25.5, 220
3.200000000000002, -45, -32.6, 220
3.300000000000002, -44, -32.7, 220
3.400000000000002, -37, -21.3, 220
3.500000000000002, 24, 114.4, 220
3.600000000000002, 42, 99.0, 220
3.700000000000002, 44, 90.0, 220
3.800000000000002, -44, -118.8, 220
3.900000000000002, -47, -42.4, 220
4.000000000000002, -33, -10.5, 220
4.100000000000001, 45, 159.4, 220
4.200000000000001, 43, 81.09999999999999, 220
4.300000000000001, 42, 85.0, 220
4.4, -22, -63.4, 220
4.5, -42, -49.60000000000001, 220
4.6, -5, 55.0, 220
4.699999999999999, 36, 115.9, 220
4.799999999999999, 38, 83.3, 220
4.899999999999999, -23, -61.3, 220
4.999999999999998, -40, -43.4, 220
5.099999999999998, 8, 84.80000000000002, 220
5.199999999999998, 41, 116.8, 220
5.299999999999997, -40, -106.5, 220
5.399999999999997, -40, -29.5, 220
5.499999999999996, -40, -33.5, 220
5.599999999999996, -42, -42.3, 220
5.699999999999996, -43, -46.9, 220
5.799999999999995, -41, -45.40000000000001, 220
5.899999999999995, -41, -51.50000000000001, 220
5.999999999999995, -39, -50.80000000000001, 220
6.099999999999994, 43, 140.1, 220
6.199999999999994, 41, 57.60000000000002, 220
6.299999999999994, 37, 54.1, 220
6.399999999999993, 31, 47.40000000000001, 220
6.499999999999993, -9, -39.5, 220
6.599999999999993, -14, -12.4, 220
6.699999999999992, -40, -71.20000000000001, 220
6.799999999999992, -42, -54.0, 220
6.899999999999991, 12, 73.40000000000001, 220
6.999999999999991, 20, 39.8, 220
7.099999999999991, -10, -38.2, 220
7.19999999999999, 33, 94.0, 220
7.29999999999999, 39, 68.70000000000001, 220
7.39999999999999, 39, 66.60000000000001, 220
7.499999999999989, -42, -123.9, 220
7.599999999999989, -43, -49.5, 220
7.699999999999989, -44, -55.2, 220
7.799999999999988, -39, -46.6, 220
7.899999999999988, -39, -55.50000000000001, 220
7.999999999999988, 41, 132.6, 220
8.099999999999987, 42, 59.1, 220
8.199999999999987, 43, 64.70000000000001, 220
8.299999999999986, -43, -138.4, 220
8.399999999999986, -40, -49.5, 220
8.499999999999986, -39, -54.1, 220
8.599999999999985, 33, 113.8, 220
8.699999999999985, 39, 59.5, 220
8.799999999999985, 20, 11.8, 220
8.899999999999984, -39, -108.8, 220
8.999999999999984, -40, -56.1, 220
9.099999999999984, 37, 125.7, 220
9.199999999999983, 40, 59.60000000000001, 220
9.299999999999983, -43, -138.6, 220
9.399999999999983, -47, -69.5, 220
9.499999999999982, -40, -53.4, 220
9.599999999999982, -38, -59.60000000000001, 220
9.699999999999982, -41, -72.60000000000002, 220
9.799999999999981, -44, -80.90000000000002, 220
9.899999999999981, -47, -89.50000000000001, 220
9.99999999999998, -31, -52.80000000000001, 220
10.09999999999998, 10, 26.5, 220
10.19999999999998, 43, 65.69999999999999, 220
10.29999999999998, 41, 32.20000000000001, 220
10.39999999999998, 35, 23.9, 220
10.49999999999998, -46, -161.0, 220
10.59999999999998, -39, -67.80000000000001, 220
10.69999999999998, -38, -76.3, 220
10.79999999999998, 27, 74.90000000000001, 220
10.89999999999998, 24, 5.400000000000002, 220
10.99999999999998, 42, 54.0, 220
11.09999999999998, -38, -151.8, 220
11.19999999999998, -39, -78.00000000000001, 220
11.29999999999998, -37, -76.09999999999999, 220
11.39999999999998, -37, -81.80000000000001, 220
11.49999999999997, -40, -92.70000000000001, 220
11.59999999999997, -41, -96.10000000000001, 220
11.69999999999997, 6, 13.59999999999999, 220
11.79999999999997, 36, 39.2, 220
11.89999999999998, -40, -169.6, 220
11.99999999999997, -40, -97.6, 220
12.09999999999997, -42, -106.4, 220
12.19999999999997, -43, -111.0, 220
12.29999999999997, -38, -102.3, 220
12.39999999999997, 33, 59.3, 220
12.49999999999997, 43, 15.6, 220
12.59999999999997, 43, 9.899999999999999, 220
12.69999999999997, 46, 21.4, 220
12.79999999999997, 41, 11.0, 220
12.89999999999997, 43, 24.9, 220
12.99999999999997, 42, 24.8, 220
13.09999999999997, 44, 34.8, 220
13.19999999999997, 39, 25.2, 220
13.29999999999997, 38, 31.7, 220
13.39999999999997, 38, 36.5, 220
13.49999999999997, 39, 42.7, 220
13.59999999999997, -33, -127.2, 220
13.69999999999997, -40, -75.3, 220
13.79999999999997, -42, -77.1, 220
13.89999999999997, 7, 38.3, 220
13.99999999999997, 5, -14.8, 220
14.09999999999997, -40, -120.3, 220
14.19999999999997, -41, -81.7, 220
14.29999999999997, -41, -84.80000000000002, 220
14.39999999999997, -40, -86.5, 220
14.49999999999997, -41, -93.90000000000001, 220
14.59999999999996, -21, -49.0, 220
14.69999999999996, 21, 29.7, 220
14.79999999999996, 34, 21.0, 220
14.89999999999996, -38, -161.4, 220
14.99999999999996, -40, -98.00000000000001, 220
15.09999999999996, -34, -85.6, 220
15.19999999999996, 42, 87.4, 220
15.29999999999996, 38, 5.999999999999993, 220
15.39999999999996, 40, 18.6, 220
15.49999999999996, 9, -53.8, 220
15.59999999999996, -40, -139.5, 220
15.69999999999996, -21, -48.90000000000001, 220
15.79999999999996, 44, 86.0, 220
15.89999999999996, 42, 20.6, 220
15.99999999999996, 33, 5.199999999999996, 220
16.09999999999996, -41, -160.1, 220
16.19999999999996, -37, -80.6, 220
16.29999999999996, 34, 82.09999999999999, 220
16.39999999999996, 39, 26.5, 220
16.49999999999997, -37, -157.0, 220
16.59999999999997, -40, -91.90000000000001, 220
16.69999999999997, -35, -80.90000000000002, 220
16.79999999999997, 43, 97.80000000000001, 220
16.89999999999997, 39, 14.5, 220
16.99999999999997, 31, 3.200000000000003, 220
17.09999999999997, -37, -148.9, 220
17.19999999999998, -34, -77.40000000000001, 220
17.29999999999998, 44, 103.4, 220
17.39999999999998, 45, 32.20000000000001, 220
17.49999999999998, 42, 28.5, 220
17.59999999999998, 39, 28.5, 220
17.69999999999998, 46, 52.20000000000001, 220
17.79999999999998, 42, 40.2, 220
17.89999999999998, -26, -114.8, 220
17.99999999999999, -39, -80.6, 220
18.09999999999999, 21, 72.5, 220
18.19999999999999, 45, 72.20000000000001, 220
18.29999999999999, 35, 28.70000000000001, 220
18.39999999999999, -26, -104.2, 220
18.49999999999999, -17, -24.2, 220
18.59999999999999, -16, -32.5, 220
18.7, -11, -23.1, 220
18.8, 25, 57.20000000000001, 220
18.9, 39, 57.3, 220
19.0, -7, -63.2, 220
19.1, -13, -32.3, 220
19.2, -16, -34.8, 220
19.30000000000001, 37, 93.80000000000001, 220
19.40000000000001, 47, 68.50000000000001, 220
19.50000000000001, -32, -126.4, 220
19.60000000000001, -37, -62.60000000000001, 220
19.70000000000001, -33, -51.70000000000001, 220
19.80000000000001, 43, 123.4, 220
19.90000000000001, 40, 44.5, 220
20.00000000000001, 44, 61.1, 220
20.10000000000002, -42, -144.9, 220
20.20000000000002, -45, -70.3, 220
20.30000000000002, -42, -64.6, 220
20.40000000000002, 15, 65.0, 220
20.50000000000002, 40, 69.5, 220
20.60000000000002, 46, 62.90000000000001, 220
20.70000000000003, -43, -152.1, 220
20.80000000000003, -42, -65.0, 220
20.90000000000003, -42, -70.2, 220
21.00000000000003, 24, 84.0, 220
21.10000000000003, 21, 13.2, 220
21.20000000000003, 8, -12.9, 220
21.30000000000003, 38, 72.90000000000001, 220
21.40000000000004, 46, 65.90000000000001, 220
21.50000000000003, 43, 55.3, 220
21.60000000000004, 44, 65.0, 220
21.70000000000004, 43, 66.00000000000001, 220
21.80000000000004, -1, -34.3, 220
21.90000000000004, 30, 84.0, 220
22.00000000000004, 48, 99.20000000000002, 220
22.10000000000004, 43, 74.0, 220
22.20000000000005, 1, -17.5, 220
22.30000000000005, -50, -97.80000000000001, 220
22.40000000000005, -13, 37.0, 220
22.50000000000005, 39, 123.5, 220
22.60000000000005, 46, 92.20000000000001, 220
22.70000000000005, 40, 75.40000000000001, 220
22.80000000000006, -44, -116.2, 220
22.90000000000006, -46, -41.40000000000001, 220
23.00000000000006, -46, -44.0, 220
23.10000000000006, 39, 155.4, 220
23.20000000000006, 42, 81.5, 220
23.30000000000006, 43, 85.1, 220
