Time in ms, Reflection, Error, Distance in mm, Command
215, 39, 9, 0, 30
425, 28, -2, 29, -30
657, 30, 0, 100, 0
876, 59, 29, 167, 30
1104, 58, 28, 235, 30
1324, 59, 29, 301, 30
1546, 8, -22, 367, -30
1765, 7, -23, 433, -30
1989, 31, 1, 500, 30
2212, 58, 28, 567, 30
2439, 58, 28, 635, 30
2659, 59, 29, 701, 30
2894, 57, 27, 772, 30
3109, 7, -23, 836, -30
3339, 6, -24, 905, -30
3558, 6, -24, 971, -30
3791, 7, -23, 1041, -30
