Time in ms, Reflection, Error, Distance in mm, Command
216, 36, 6, 0, 20
457, 29, -1, 41, -20
675, 10, -20, 107, -20
895, 26, -4, 173, -20
1112, 43, 13, 238, 20
1346, 35, 5, 308, 20
1570, 14, -16, 375, -20
1795, 28, -2, 443, -20
2038, 48, 18, 516, 20
2268, 19, -11, 585, -20
2490, 11, -19, 651, -20
2715, 42, 12, 719, 20
2934, 49, 19, 785, 20
3163, 9, -21, 853, -20
3383, 8, -22, 919, -20
3600, 35, 5, 985, 20
3823, 54, 24, 1051, 20
