Time in ms, Reflection, Error, Distance in mm, Command
212, 35, 5, 0, 30
442, 51, 21, 19, 30
663, 54, 24, 41, 30
885, 60, 30, 63, 30
1113, 73, 43, 86, 30
1339, 67, 37, 108, 30
1555, 27, -3, 130, -30
1769, 7, -23, 151, -30
1995, 7, -23, 174, -30
2217, 7, -23, 196, -30
2428, 7, -23, 217, -30
2645, 7, -23, 239, -30
2861, 19, -11, 261, -30
3078, 64, 34, 282, 30
3301, 50, 20, 305, 30
3532, 7, -23, 328, -30
3741, 7, -23, 349, -30
3967, 16, -14, 371, -30
4196, 23, -7, 394, -30
4418, 61, 31, 416, 30
4645, 59, 29, 439, 30
4868, 30, 0, 461, 0
5083, 44, 14, 483, 30
5302, 21, -9, 505, -30
5534, 40, 10, 528, 30
5736, 23, -7, 548, -30
5969, 49, 19, 571, 30
6176, 10, -20, 592, -30
6381, 34, 4, 613, 30
6596, 21, -9, 634, -30
6816, 39, 9, 656, 30
7033, 25, -5, 678, -30
7248, 45, 15, 699, 30
7461, 19, -11, 721, -30
7680, 38, 8, 742, 30
7898, 13, -17, 764, -30
8120, 36, 6, 786, 30
8355, 11, -19, 810, -30
8572, 21, -9, 831, -30
8800, 72, 42, 854, 30
9015, 51, 21, 876, 30
9234, 17, -13, 898, -30
9462, 37, 7, 921, 30
9672, 15, -15, 942, -30
9892, 25, -5, 964, -30
10112, 54, 24, 986, 30
10340, 56, 26, 1008, 30
