Time in ms, Reflection, Error, Distance in mm, Command
227, 33, 3, 0, 20
449, 43, 13, 33, 20
669, 55, 25, 101, 20
888, 70, 40, 167, 20
1131, 64, 34, 239, 20
1351, 66, 36, 306, 20
1562, 8, -22, 370, -20
1784, 6, -24, 436, -20
2004, 47, 17, 502, 20
2234, 74, 44, 571, 20
2454, 12, -18, 637, -20
2680, 8, -22, 704, -20
2895, 12, -18, 769, -20
3119, 14, -16, 836, -20
3349, 15, -15, 905, -20
3578, 13, -17, 974, -20
3800, 13, -17, 1041, -20
