timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1759842043.851527,0.007627010345458984,203.07,None,10,150,PID,96.93000000000001,53.06999999999999,29,0,None,39,None,0
1759842044.026757,0.2067079544067383,188.37,None,9,150,PID,111.63,38.37000000000001,59,0,None,39,None,1
1759842044.187104,0.3677210807800293,183.18,None,12,150,PID,116.82,33.18,86,0,None,39,None,2
1759842044.347707,0.5279309749603271,187.62,None,11,150,PID,112.38,37.62,114,0,None,39,None,3
1759842044.507388,0.6882419586181641,68.91,None,76,150,PID,231.09,-81.09,77,0,None,39,None,4
1759842044.65689,0.8369009494781494,95.81999999999999,None,82,150,PID,204.18,-54.18,34,0,None,39,None,5
1759842044.805624,0.9863619804382324,98.13000000000001,None,82,150,PID,201.87,-51.87000000000001,-9,0,None,39,None,6
1759842044.95519,1.134912014007568,82.20000000000001,None,90,150,PID,217.8,-67.8,-60,0,None,39,None,7
1759842045.102866,1.282758951187134,94.62000000000002,None,85,150,PID,205.38,-55.38,-106,0,None,39,None,8
1759842045.2557,1.436198949813843,198.21,None,26,150,PID,101.79,48.21,-93,0,None,39,None,9
1759842045.405449,1.581638097763062,170.52,None,22,150,PID,129.48,20.52,-76,0,None,39,None,10
1759842045.565775,1.746051073074341,47.84999999999999,None,88,150,PID,252.15,-102.15,-125,0,None,39,None,11
1759842045.716396,1.896306991577148,85.98000000000001,None,88,150,PID,214.02,-64.02,-174,0,None,39,None,12
1759842045.868448,2.048815011978149,163.2,None,45,150,PID,136.8,13.2,-180,0,None,39,None,13
1759842046.017315,2.197756052017212,193.95,None,14,150,PID,106.05,43.95,-155,0,None,39,None,14
1759842046.167731,2.347754955291748,51.66,None,82,150,PID,248.34,-98.34000000000001,-198,0,None,39,None,15
1759842046.316577,2.496922969818115,98.49000000000002,None,78,150,PID,201.51,-51.51,-237,0,None,39,None,16
1759842046.465288,2.646008014678955,184.59,None,29,150,PID,115.41,34.59,-227,0,None,39,None,17
1759842046.61731,2.791377067565918,139.02,None,38,150,PID,160.98,-10.98,-226,0,None,39,None,18
1759842046.777083,2.957840919494629,60.27000000000001,None,84,150,PID,239.73,-89.72999999999999,-271,0,None,39,None,19
1759842046.924815,3.105629920959473,90.18000000000001,None,82,150,PID,209.82,-59.82,-314,0,None,39,None,20
1759842047.076948,3.257671117782593,223.11,None,8,150,PID,76.89000000000002,73.10999999999999,-283,0,None,39,None,21
1759842047.230939,3.410478115081787,177.81,None,9,150,PID,122.19,27.81,-253,0,None,39,None,22
1759842047.386667,3.566561937332153,113.43,None,45,150,PID,186.57,-36.57,-259,0,None,39,None,23
1759842047.542968,3.718657970428467,96.42000000000001,None,66,150,PID,203.58,-53.58000000000001,-286,0,None,39,None,24
1759842047.695772,3.876523017883301,201.54,None,15,150,PID,98.46000000000002,51.54,-262,0,None,39,None,25
1759842047.845214,4.025475978851318,182.64,None,9,150,PID,117.36,32.64,-232,0,None,39,None,26
1759842047.996313,4.176314115524292,42.69,None,84,150,PID,257.31,-107.31,-277,0,None,39,None,27
1759842048.145425,4.32600998878479,75.36000000000001,None,90,150,PID,224.64,-74.63999999999999,-328,0,None,39,None,28
1759842048.296518,4.47681713104248,223.83,None,10,150,PID,76.17000000000001,73.83,-299,0,None,39,None,29
1759842048.447216,4.628031015396118,174.87,None,11,150,PID,125.13,24.87,-271,0,None,39,None,30
1759842048.623286,4.799317121505737,178.14,None,10,150,PID,121.86,28.14,-242,0,None,39,None,31
1759842048.779756,4.960225105285645,178.41,None,10,150,PID,121.59,28.41,-213,0,None,39,None,32
1759842048.934736,5.112857103347778,177.45,None,11,150,PID,122.55,27.45,-185,0,None,39,None,33
1759842049.097084,5.276828050613403,125.82,None,40,150,PID,174.18,-24.18,-186,0,None,39,None,34
1759842049.262512,5.438698053359985,68.16000000000002,None,81,150,PID,231.84,-81.83999999999999,-228,0,None,39,None,35
1759842049.412236,5.588181018829346,221.43,None,10,150,PID,78.56999999999999,71.43000000000001,-199,0,None,39,None,36
1759842049.566371,5.746357917785645,183.36,None,8,150,PID,116.64,33.36,-168,0,None,39,None,37
1759842049.716738,5.896633148193359,177.6,None,11,150,PID,122.4,27.6,-140,0,None,39,None,38
1759842049.872782,6.048754930496216,130.83,None,38,150,PID,169.17,-19.17,-139,0,None,39,None,39
1759842050.024443,6.204849004745483,103.14,None,62,150,PID,196.86,-46.85999999999999,-162,0,None,39,None,40
1759842050.175417,6.350525140762329,169.92,None,33,150,PID,130.08,19.92,-156,0,None,39,None,41
1759842050.327369,6.508181095123291,145.38,None,37,150,PID,154.62,-4.62,-154,0,None,39,None,42
1759842050.485615,6.66084098815918,146.01,None,38,150,PID,153.99,-3.99,-153,0,None,39,None,43
1759842050.646994,6.82732105255127,196.05,None,11,150,PID,103.95,46.05,-125,0,None,39,None,44
1759842050.797254,6.978114128112793,182.52,None,10,150,PID,117.48,32.52,-96,0,None,39,None,45
1759842050.945697,7.126572132110596,69.33000000000002,None,72,150,PID,230.67,-80.66999999999998,-129,0,None,39,None,46
1759842051.096527,7.277194976806641,162.27,None,41,150,PID,137.73,12.27,-131,0,None,39,None,47
1759842051.245178,7.425651073455811,149.1,None,38,150,PID,150.9,-0.9000000000000004,-130,0,None,39,None,48
1759842051.394815,7.575201034545898,169.29,None,26,150,PID,130.71,19.29,-117,0,None,39,None,49
1759842051.557694,7.737728118896484,118.56,None,50,150,PID,181.44,-31.44,-128,0,None,39,None,50
1759842051.714699,7.891770124435425,158.25,None,36,150,PID,141.75,8.25,-125,0,None,39,None,51
1759842051.864608,8.039958953857422,193.86,None,12,150,PID,106.14,43.86,-98,0,None,39,None,52
1759842052.013564,8.187845945358276,72.30000000000001,None,71,150,PID,227.7,-77.7,-130,0,None,39,None,53
1759842052.164621,8.338731050491333,81.12,None,85,150,PID,218.88,-68.88,-176,0,None,39,None,54
1759842052.315276,8.490518093109131,227.22,None,9,150,PID,72.78,77.22,-146,0,None,39,None,55
1759842052.463592,8.642580986022949,182.52,None,9,150,PID,117.48,32.52000000000001,-116,0,None,39,None,56
1759842052.616688,8.790269136428833,179.76,None,11,150,PID,120.24,29.76000000000001,-88,0,None,39,None,57
