timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1759843088.605693,0.006345033645629883,255.8,None,9,200,PID,144.2,55.8,30,0,None,39,None,0
1759843088.778205,0.196753978729248,241.46,None,8,200,PID,158.54,41.46,61,0,None,39,None,1
1759843088.946436,0.3645679950714111,240.86,None,9,200,PID,159.14,40.86,91,0,None,39,None,2
1759843089.107636,0.5263040065765381,215.36,None,24,200,PID,184.64,15.36,106,0,None,39,None,3
1759843089.265098,0.6782639026641846,139.7,None,70,200,PID,260.3,-60.3,75,0,None,39,None,4
1759843089.414404,0.8289949893951416,156.14,None,75,200,PID,243.86,-43.86,39,0,None,39,None,5
1759843089.563,0.9777579307556152,149.54,None,79,200,PID,250.46,-50.46,-1,0,None,39,None,6
1759843089.715855,1.134607076644897,153.26,None,77,200,PID,246.74,-46.73999999999999,-39,0,None,39,None,7
1759843089.873743,1.288079023361206,146.06,None,79,200,PID,253.94,-53.94000000000001,-79,0,None,39,None,8
1759843090.023178,1.437843084335327,276.92,None,8,200,PID,123.08,76.91999999999999,-48,0,None,39,None,9
1759843090.169172,1.587869882583618,234.32,None,9,200,PID,165.68,34.32,-18,0,None,39,None,10
1759843090.324611,1.739136934280396,236.72,None,9,200,PID,163.28,36.72,12,0,None,39,None,11
1759843090.476431,1.894861936569214,238.52,None,9,200,PID,161.48,38.52,42,0,None,39,None,12
1759843090.627114,2.040580034255981,242.18,None,8,200,PID,157.82,42.18,73,0,None,39,None,13
1759843090.786687,2.204822063446045,241.58,None,9,200,PID,158.42,41.58,103,0,None,39,None,14
1759843090.945282,2.354578018188477,243.98,None,9,200,PID,156.02,43.98,133,0,None,39,None,15
1759843091.096752,2.509762048721313,227.18,None,19,200,PID,172.82,27.18,153,0,None,39,None,16
1759843091.24557,2.659799098968506,154.4,None,62,200,PID,245.6,-45.6,130,0,None,39,None,17
1759843091.397266,2.815951108932495,154.64,None,75,200,PID,245.36,-45.36,94,0,None,39,None,18
1759843091.546962,2.965897083282471,160.28,None,75,200,PID,239.72,-39.72,58,0,None,39,None,19
1759843091.705003,3.120033979415894,156.26,None,76,200,PID,243.74,-43.74000000000001,21,0,None,39,None,20
1759843091.857842,3.276535987854004,186.26,None,59,200,PID,213.74,-13.74,1,0,None,39,None,21
1759843092.007146,3.425848960876465,137.66,None,79,200,PID,262.34,-62.34000000000001,-39,0,None,39,None,22
1759843092.157047,3.575112104415894,147.26,None,79,200,PID,252.74,-52.74000000000001,-79,0,None,39,None,23
1759843092.307166,3.725888967514038,143.0,None,80,200,PID,257.0,-56.99999999999999,-120,0,None,39,None,24
1759843092.45679,3.874847888946533,141.14,None,80,200,PID,258.86,-58.86,-161,0,None,39,None,25
1759843092.614562,4.027878999710083,140.54,None,79,200,PID,259.46,-59.46000000000001,-201,0,None,39,None,26
1759843092.783444,4.197053909301758,139.4,None,78,200,PID,260.6,-60.6,-240,0,None,39,None,27
1759843092.934321,4.347939014434814,266.66,None,8,200,PID,133.34,66.66,-209,0,None,39,None,28
1759843093.089668,4.508126974105835,224.66,None,9,200,PID,175.34,24.66,-179,0,None,39,None,29
1759843093.245025,4.659763097763062,227.06,None,9,200,PID,172.94,27.06,-149,0,None,39,None,30
1759843093.401462,4.810420036315918,232.58,None,7,200,PID,167.42,32.58,-117,0,None,39,None,31
1759843093.555122,4.968866109848022,173.78,None,39,200,PID,226.22,-26.22,-117,0,None,39,None,32
1759843093.725525,5.14366888999939,118.58,None,79,200,PID,281.42,-81.42000000000001,-157,0,None,39,None,33
1759843093.885054,5.298542976379395,143.9,None,77,200,PID,256.1,-56.09999999999999,-195,0,None,39,None,34
1759843094.035663,5.454489946365356,252.02,None,17,200,PID,147.98,52.02,-173,0,None,39,None,35
1759843094.186485,5.604943990707397,215.48,None,18,200,PID,184.52,15.48,-152,0,None,39,None,36
1759843094.337065,5.755553007125854,217.34,None,18,200,PID,182.66,17.34,-131,0,None,39,None,37
1759843094.491516,5.904556035995483,216.74,None,19,200,PID,183.26,16.74,-111,0,None,39,None,38
1759843094.644986,6.060051918029785,216.68,None,20,200,PID,183.32,16.68,-92,0,None,39,None,39
1759843094.796853,6.215779066085815,220.28,None,19,200,PID,179.72,20.28,-72,0,None,39,None,40
1759843094.956826,6.365854024887085,222.74,None,18,200,PID,177.26,22.74,-51,0,None,39,None,41
1759843095.108241,6.526624917984009,223.4,None,18,200,PID,176.6,23.4,-30,0,None,39,None,42
1759843095.258614,6.676600933074951,222.8,None,19,200,PID,177.2,22.8,-10,0,None,39,None,43
1759843095.408637,6.826978921890259,228.32,None,17,200,PID,171.68,28.32,12,0,None,39,None,44
1759843095.56367,6.9808189868927,226.58,None,18,200,PID,173.42,26.58,33,0,None,39,None,45
1759843095.715627,7.129848957061768,230.3,None,17,200,PID,169.7,30.3,55,0,None,39,None,46
1759843095.868334,7.287029027938843,231.02,None,17,200,PID,168.98,31.02,77,0,None,39,None,47
1759843096.018117,7.436667919158936,232.34,None,17,200,PID,167.66,32.34,99,0,None,39,None,48
1759843096.172652,7.590013027191162,233.66,None,17,200,PID,166.34,33.66,121,0,None,39,None,49
1759843096.326628,7.744684934616089,227.54,None,21,200,PID,172.46,27.54,139,0,None,39,None,50
1759843096.478741,7.897109985351563,231.02,None,21,200,PID,168.98,31.02,157,0,None,39,None,51
1759843096.627085,8.044987916946411,239.54,None,17,200,PID,160.46,39.54,179,0,None,39,None,52
1759843096.788451,8.200942039489746,231.02,None,21,200,PID,168.98,31.02,197,0,None,39,None,53
1759843096.957825,8.367894887924194,241.94,None,17,200,PID,158.06,41.94,219,0,None,39,None,54
1759843097.109226,8.527039051055908,239.0,None,18,200,PID,161.0,38.99999999999999,240,0,None,39,None,55
1759843097.258694,8.675857067108154,244.58,None,16,200,PID,155.42,44.58,263,0,None,39,None,56
1759843097.407252,8.825927019119263,239.18,None,19,200,PID,160.82,39.18000000000001,283,0,None,39,None,57
1759843097.558236,8.976769924163818,242.18,None,19,200,PID,157.82,42.18,303,0,None,39,None,58
1759843097.713809,9.127854108810425,252.68,None,14,200,PID,147.32,52.68000000000001,328,0,None,39,None,59
1759843097.872908,9.286778926849365,241.88,None,19,200,PID,158.12,41.88,348,0,None,39,None,60
