timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1759841982.328681,0.009672880172729492,204.9,None,9,150,PID,95.1,54.9,30,0,None,39,None,0
1759841982.506651,0.1928889751434326,187.8,None,9,150,PID,112.2,37.8,60,0,None,39,None,1
1759841982.677393,0.3696310520172119,188.7,None,9,150,PID,111.3,38.70000000000001,90,0,None,39,None,2
1759841982.825804,0.5180728435516357,143.85,None,34,150,PID,156.15,-6.15,95,0,None,39,None,3
1759841982.977294,0.6696460247039795,105.93,None,63,150,PID,194.07,-44.06999999999999,71,0,None,39,None,4
1759841983.126556,0.8183908462524414,212.28,None,14,150,PID,87.72,62.28000000000001,96,0,None,39,None,5
1759841983.276935,0.9690358638763428,194.61,None,8,150,PID,105.39,44.61,127,0,None,39,None,6
1759841983.426948,1.11832594871521,160.83,None,25,150,PID,139.17,10.83,141,0,None,39,None,7
1759841983.578677,1.265944004058838,83.61000000000002,None,73,150,PID,216.39,-66.38999999999999,107,0,None,39,None,8
1759841983.735674,1.428024053573608,140.67,None,57,150,PID,159.33,-9.33,89,0,None,39,None,9
1759841983.886662,1.578328847885132,218.37,None,9,150,PID,81.63,68.37000000000001,119,0,None,39,None,10
1759841984.038288,1.729675054550171,82.5,None,68,150,PID,217.5,-67.5,90,0,None,39,None,11
1759841984.196654,1.887737989425659,106.05,None,74,150,PID,193.95,-43.95,55,0,None,39,None,12
1759841984.344387,2.03168797492981,108.6,None,74,150,PID,191.4,-41.4,20,0,None,39,None,13
1759841984.493192,2.181267023086548,102.06,None,77,150,PID,197.94,-47.94,-18,0,None,39,None,14
1759841984.636887,2.328904867172241,100.89,None,78,150,PID,199.11,-49.11,-57,0,None,39,None,15
1759841984.786698,2.478278875350952,199.14,None,24,150,PID,100.86,49.14000000000001,-42,0,None,39,None,16
1759841984.941549,2.629191875457764,176.34,None,19,150,PID,123.66,26.34,-22,0,None,39,None,17
1759841985.095164,2.786988973617554,76.95,None,72,150,PID,223.05,-73.05,-55,0,None,39,None,18
1759841985.24219,2.933024883270264,104.1,None,74,150,PID,195.9,-45.90000000000001,-90,0,None,39,None,19
1759841985.394277,3.081614971160889,107.91,None,72,150,PID,192.09,-42.09,-123,0,None,39,None,20
1759841985.544319,3.232704877853394,120.36,None,64,150,PID,179.64,-29.64,-148,0,None,39,None,21
1759841985.694507,3.381639003753662,213.63,None,10,150,PID,86.37,63.63,-119,0,None,39,None,22
1759841985.841557,3.529551982879639,182.1,None,10,150,PID,117.9,32.1,-90,0,None,39,None,23
1759841985.98874,3.681215047836304,193.95,None,4,150,PID,106.05,43.95,-55,0,None,39,None,24
1759841986.146833,3.838120937347412,191.4,None,4,150,PID,108.6,41.4,-20,0,None,39,None,25
1759841986.296635,3.988729000091553,183.3,None,9,150,PID,116.7,33.3,10,0,None,39,None,26
1759841986.445419,4.137687921524048,189.03,None,8,150,PID,110.97,39.03,41,0,None,39,None,27
1759841986.596865,4.287859916687012,187.53,None,9,150,PID,112.47,37.53,71,0,None,39,None,28
1759841986.745842,4.43281888961792,189.03,None,9,150,PID,110.97,39.03,101,0,None,39,None,29
1759841986.894853,4.586967945098877,133.2,None,40,150,PID,166.8,-16.8,100,0,None,39,None,30
1759841987.044378,4.732378959655762,93.21,None,72,150,PID,206.79,-56.79000000000001,67,0,None,39,None,31
