timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1759842726.705605,9.435743093490601,133.04,None,79,200,PID,266.96,-66.96000000000002,384,0,None,39,None,61
1759842726.854713,9.585242033004761,284.24,None,19,200,PID,115.76,84.23999999999999,404,0,None,39,None,62
1759842727.005302,9.735956192016602,269.9,None,8,200,PID,130.1,69.89999999999999,435,0,None,39,None,63
1759842727.177034,9.906700134277344,259.58,None,11,200,PID,140.42,59.58,463,0,None,39,None,64
1759842727.327251,10.05765509605408,264.92,None,10,200,PID,135.08,64.91999999999999,492,0,None,39,None,65
1759842727.489531,10.22007322311401,266.06,None,10,200,PID,133.94,66.06000000000001,521,0,None,39,None,66
1759842727.636812,10.36672616004944,267.8,None,10,200,PID,132.2,67.8,550,0,None,39,None,67
1759842727.786819,10.51742720603943,273.26,None,8,200,PID,126.74,73.26000000000001,581,0,None,39,None,68
1759842727.94575,10.67118406295776,210.68,None,42,200,PID,189.32,10.68,578,0,None,39,None,69
1759842728.09587,10.8261661529541,147.2,None,87,200,PID,252.8,-52.8,530,0,None,39,None,70
1759842728.246246,10.97638511657715,165.74,None,90,200,PID,234.26,-34.25999999999999,479,0,None,39,None,71
1759842728.396247,11.12227010726929,162.62,None,91,200,PID,237.38,-37.38,427,0,None,39,None,72
1759842728.546748,11.2771201133728,158.24,None,92,200,PID,241.76,-41.76,374,0,None,39,None,73
1759842728.705222,11.43142199516296,159.38,None,90,200,PID,240.62,-40.61999999999999,323,0,None,39,None,74
1759842728.856616,11.58621406555176,268.58,None,29,200,PID,131.42,68.58000000000001,333,0,None,39,None,75
1759842729.006424,11.73620510101318,266.06,None,11,200,PID,133.94,66.06000000000001,361,0,None,39,None,76
1759842729.165768,11.89628005027771,258.8,None,10,200,PID,141.2,58.8,390,0,None,39,None,77
1759842729.315395,12.04235506057739,261.8,None,9,200,PID,138.2,61.80000000000001,420,0,None,39,None,78
1759842729.468587,12.19863510131836,257.42,None,12,200,PID,142.58,57.42000000000001,447,0,None,39,None,79
1759842729.624412,12.34991216659546,264.56,None,10,200,PID,135.44,64.56,476,0,None,39,None,80
1759842729.775382,12.50165319442749,265.1,None,10,200,PID,134.9,65.1,505,0,None,39,None,81
1759842729.924243,12.65011119842529,264.98,None,11,200,PID,135.02,64.98000000000001,533,0,None,39,None,82
1759842730.076884,12.80727601051331,269.12,None,10,200,PID,130.88,69.11999999999999,562,0,None,39,None,83
1759842730.234441,12.95837616920471,270.26,None,10,200,PID,129.74,70.26,591,0,None,39,None,84
1759842730.396491,13.12641310691834,273.86,None,9,200,PID,126.14,73.85999999999999,621,0,None,39,None,85
1759842730.557613,13.28762316703797,273.2,None,10,200,PID,126.8,73.2,650,0,None,39,None,86
1759842730.717189,13.44059419631958,279.26,None,8,200,PID,120.74,79.26000000000001,681,0,None,39,None,87
1759842730.877583,13.60807418823242,138.56,None,84,200,PID,261.44,-61.44000000000001,636,0,None,39,None,88
1759842731.026569,13.75661706924439,187.04,None,81,200,PID,212.96,-12.96,594,0,None,39,None,89
1759842731.187302,13.91596722602844,197.6,None,73,200,PID,202.4,-2.399999999999996,560,0,None,39,None,90
1759842731.335564,14.0661461353302,276.32,None,27,200,PID,123.68,76.32,572,0,None,39,None,91
1759842731.4865,14.21665716171265,282.92,None,9,200,PID,117.08,82.92,602,0,None,39,None,92
1759842731.642668,14.36781311035156,210.68,None,43,200,PID,189.32,10.68,598,0,None,39,None,93
1759842731.796944,14.52744317054749,158.3,None,82,200,PID,241.7,-41.70000000000001,555,0,None,39,None,94
