Time in ms, Reflection, Error, Distance in mm, Command
220, 32, 2, 0, 15
436, 20, -10, 9, -15
655, 20, -10, 20, -15
877, 39, 9, 31, 15
1090, 37, 7, 42, 15
1308, 16, -14, 53, -15
1534, 14, -16, 64, -15
1750, 34, 4, 75, 15
1977, 34, 4, 86, 15
2193, 15, -15, 97, -15
2411, 21, -9, 108, -15
2635, 54, 24, 119, 15
2852, 63, 33, 130, 15
3080, 54, 24, 141, 15
3322, 42, 12, 154, 15
3548, 28, -2, 165, -15
3765, 49, 19, 175, 15
3982, 60, 30, 186, 15
4217, 62, 32, 198, 15
4435, 45, 15, 209, 15
4659, 20, -10, 220, -15
4874, 19, -11, 231, -15
5082, 40, 10, 241, 15
5298, 30, 0, 252, 0
5521, 22, -8, 263, -15
5755, 40, 10, 275, 15
5984, 21, -9, 287, -15
6207, 9, -21, 298, -15
6437, 18, -12, 309, -15
6656, 28, -2, 320, -15
6860, 40, 10, 330, 15
7075, 16, -14, 341, -15
7295, 9, -21, 352, -15
7511, 9, -21, 363, -15
7745, 12, -18, 375, -15
7969, 18, -12, 386, -15
8195, 23, -7, 397, -15
8409, 34, 4, 408, 15
8636, 12, -18, 419, -15
8852, 8, -22, 430, -15
9074, 13, -17, 441, -15
9281, 36, 6, 451, 15
9502, 21, -9, 462, -15
9734, 31, 1, 474, 15
9949, 24, -6, 485, -15
10185, 36, 6, 497, 15
10408, 43, 13, 508, 15
10628, 18, -12, 519, -15
10840, 33, 3, 529, 15
11061, 47, 17, 540, 15
11293, 30, 0, 552, 0
11520, 47, 17, 563, 15
11737, 52, 22, 574, 15
11954, 51, 21, 585, 15
12181, 47, 17, 596, 15
12403, 43, 13, 607, 15
12633, 39, 9, 619, 15
12849, 30, 0, 630, 0
13078, 49, 19, 641, 15
13290, 59, 29, 652, 15
13509, 54, 24, 663, 15
13725, 45, 15, 674, 15
13944, 18, -12, 684, -15
14164, 16, -14, 695, -15
14389, 36, 6, 707, 15
14629, 20, -10, 719, -15
14844, 14, -16, 729, -15
15066, 27, -3, 741, -15
15289, 46, 16, 752, 15
15513, 27, -3, 763, -15
15734, 18, -12, 774, -15
15957, 30, 0, 785, 0
16175, 44, 14, 796, 15
16400, 24, -6, 807, -15
16619, 11, -19, 818, -15
16830, 18, -12, 829, -15
17050, 31, 1, 840, 15
17284, 9, -21, 852, -15
17497, 7, -23, 862, -15
17708, 10, -20, 873, -15
17920, 20, -10, 883, -15
18139, 40, 10, 895, 15
18366, 36, 6, 906, 15
18598, 11, -19, 917, -15
18808, 11, -19, 928, -15
19034, 36, 6, 939, 15
19240, 37, 7, 949, 15
19461, 22, -8, 960, -15
19694, 38, 8, 972, 15
19905, 42, 12, 983, 15
20130, 15, -15, 994, -15
20340, 10, -20, 1004, -15
