Time in ms, Reflection, Error, Distance in mm, Command
234, 46, 16, 0, 15
464, 39, 9, 14, 15
674, 10, -20, 28, -15
891, 8, -22, 44, -15
1119, 17, -13, 60, -15
1343, 40, 10, 75, 15
1565, 36, 6, 91, 15
1791, 17, -13, 107, -15
2005, 32, 2, 122, 15
2234, 43, 13, 137, 15
2464, 32, 2, 154, 15
2682, 25, -5, 169, -15
2899, 55, 25, 184, 15
3123, 68, 38, 200, 15
3335, 58, 28, 215, 15
3559, 45, 15, 231, 15
3790, 10, -20, 246, -15
4015, 8, -22, 262, -15
4230, 8, -22, 277, -15
4453, 8, -22, 293, -15
4660, 10, -20, 307, -15
4879, 10, -20, 323, -15
5095, 11, -19, 338, -15
5324, 11, -19, 354, -15
5536, 9, -21, 369, -15
5760, 8, -22, 384, -15
5969, 8, -22, 399, -15
6198, 9, -21, 415, -15
6420, 11, -19, 430, -15
6644, 26, -4, 446, -15
6863, 56, 26, 461, 15
7082, 48, 18, 477, 15
7299, 24, -6, 492, -15
7521, 47, 17, 508, 15
7751, 60, 30, 524, 15
7974, 49, 19, 539, 15
8190, 40, 10, 554, 15
8413, 35, 5, 570, 15
8628, 32, 2, 585, 15
8837, 32, 2, 600, 15
9060, 29, -1, 615, -15
9286, 59, 29, 631, 15
9493, 64, 34, 646, 15
9709, 59, 29, 661, 15
9934, 57, 27, 676, 15
10158, 53, 23, 692, 15
10380, 20, -10, 708, -15
10610, 9, -21, 724, -15
10816, 11, -19, 738, -15
11028, 18, -12, 753, -15
11248, 24, -6, 768, -15
11466, 27, -3, 784, -15
11686, 37, 7, 799, 15
11917, 7, -23, 815, -15
12136, 7, -23, 831, -15
12356, 6, -24, 846, -15
12583, 7, -23, 862, -15
12802, 7, -23, 877, -15
13022, 8, -22, 892, -15
13238, 18, -12, 908, -15
13458, 45, 15, 923, 15
13673, 48, 18, 938, 15
13898, 40, 10, 954, 15
14124, 25, -5, 970, -15
14356, 37, 7, 986, 15
14578, 29, -1, 1001, -15
