time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, velocity, turn_rate, reflection, error, command
108, 2.995888604263722, 0.1570078687288315, 3.0, 2.995888604263722, 0.1570078687288315, 3.0, 7.884, 0.0, 0.0, 2.999966623427142, 0.01415126577909625, 0.2702702702702706, 73, 62, 76, 36, 47.12
228, 11.90830122293786, 1.40956577736942, 8.0, 11.90830122293786, 1.40956577736942, 8.0, 16.01294873642864, -0.7111908608208907, -5.0, 11.99701291949961, 0.2447113367554352, 1.467951591214699, 68, 25, 14, -26, -15.648
356, 20.87405350576356, 2.193967462098344, 5.0, 20.87405350576356, 2.193967462098344, 5.0, 23.91874986048474, -1.402858835266306, -5.0, 20.9949039843878, 0.4395353198925189, 1.240384884338899, 62, -17, 16, -24, -19.696
456, 27.85700185758234, 2.682262778307221, 4.0, 28.85456590784216, 2.752019252051346, 4.0, 31.00145461732949, -1.898129798849595, -4.0, 28.99244651125462, 0.6378117202950383, 1.420195538507896, 71, -18, 24, -16, -14.832
558, 34.852737646716, 2.926559255224728, 2.0, 35.85030169697583, 2.996315728968853, 2.0, 38.33538992056708, -2.282485061497775, -3.0, 35.99216374183917, 0.7007298564548998, 0.5149988855568837, 72, -14, 40, 0, -0.07999999999999998
665, 42.84786426286877, 3.205755228844736, 2.0, 42.8460374861095, 3.24061220588636, 2.0, 45.92197849609758, -2.68008132107542, -3.0, 42.99180620363297, 0.7714787578829579, 0.5790974962490239, 71, 4, 50, 10, 10.848
784, 50.83690054090536, 3.624442878788286, 3.0, 50.83507376414609, 3.65929985582991, 3.0, 54.47823634987477, -3.128495794164962, -3.0, 50.98963570750538, 0.9578204520581425, 1.334694786372249, 72, 4, 34, -6, -4.64
904, 59.82456635369653, 4.09546648497478, 3.0, 59.82273957693725, 4.130323462016404, 3.0, 62.84627181384543, -3.860604033245291, -5.0, 59.98874210123436, 1.084643613768099, 0.8074080459676303, 70, -11, 29, -11, -11.968
1008, 66.82030214283021, 4.339762961892287, 2.0, 66.821673443032, 4.252490307077389, 1.0, 69.99496496735181, -4.486033643202486, -5.0, 66.9883143355781, 1.007257980707117, -0.6334229269383236, 69, -8, 34, -6, -8.255999999999998
1126, 74.81908370408134, 4.479382213390555, 1.0, 74.82045500428313, 4.392109558575657, 1.0, 77.75332927609032, -5.164802567721248, -5.0, 74.9878344411263, 0.9196333213354425, -0.6275779442576328, 66, -5, 48, 8, 6.208
1254, 83.8136011472532, 4.793477683713064, 2.0, 83.81908426069065, 4.549181216511209, 1.0, 86.55172084963661, -5.934562087668565, -5.0, 83.9872998909267, 0.8215434755368722, -0.6244717164756983, 69, 9, 50, 10, 10.832
1375, 92.80811859042506, 5.107573154035573, 2.0, 92.80675007348183, 5.020204822697703, 3.0, 95.0786848383872, -6.981541616862186, -7.0, 92.98718035532016, 0.8679291050924219, 0.2953013966605074, 71, -1, 30, -10, -9.423999999999999
1505, 101.8067478468326, 5.264644811971125, 1.0, 101.8053793298894, 5.177276480633255, 1.0, 103.9613894149991, -8.229924332473974, -8.0, 101.9843659803461, 0.6428717150196084, -1.432909208374036, 69, -13, 30, -10, -12.016
1629, 109.8067478468326, 5.264644811971125, 3.975693351829396e-16, 110.8053793298893, 5.177276480633255, 1.987846675914698e-16, 112.3305385656387, -9.257526636066178, -7.0, 110.9794609717332, 0.3457756094876246, -1.891716225623144, 68, -3, 49, 9, 7.359999999999999
1754, 118.8053771032401, 5.421716469906676, 1.0, 118.8041608911405, 5.316895732131523, 1.0, 121.0153173925003, -10.32388339086122, -7.0, 118.977816847714, 0.1835927461417855, -1.161628776047129, 70, 13, 54, 14, 15.488
1876, 127.7930429160313, 5.892740076093171, 3.0, 127.7918267039317, 5.787919338318018, 3.0, 129.1852825114896, -11.76446867278607, -10.0, 127.9774570048643, 0.1031126752655741, -0.5123588725011161, 68, 3, 31, -9, -7.503999999999998
1991, 135.788169532184, 6.171936049713178, 2.0, 135.7869533200844, 6.067115311938025, 2.0, 136.9997320316414, -13.14236696257316, -10.0, 135.9755774024275, -0.07029466622654299, -1.24203587426962, 69, -8, 28, -12, -12.176
2116, 143.7869510934352, 6.311555301211446, 1.0, 144.7855825764919, 6.224186969873577, 1.0, 145.0246997989769, -14.41339699102504, -9.0, 144.9716085267141, -0.3375473759743191, -1.701633732122569, 65, -7, 46, 6, 5.184
2244, 152.7855803498427, 6.468626959146998, 1.0, 153.7842118328995, 6.381258627809128, 1.0, 153.8485772659663, -15.96928466292074, -10.0, 153.9662796874614, -0.647209627502014, -1.971760291467118, 70, 11, 47, 7, 8.176
2344, 159.7813161389764, 6.712923436064504, 2.0, 160.7799476220332, 6.625555104726635, 2.0, 160.8181302684447, -17.3240285300942, -11.0, 160.9638422471046, -0.831920817955025, -1.512057169529195, 71, 5, 32, -8, -7.295999999999999
2465, 168.7799453953839, 6.869995094000056, 1.0, 168.7787291832843, 6.765174356224903, 1.0, 169.1030404466601, -19.08504055132062, -12.0, 168.9561544851679, -1.18255608330264, -2.512044824945564, 70, -11, 31, -9, -10.56
2582, 176.7799453953839, 6.869995094000056, 3.975693351829396e-16, 177.7787291832843, 6.765174356224903, 3.975693351829396e-16, 177.1140692966699, -20.78783729911807, -12.0, 177.9417517278619, -1.691517960154648, -3.241881460935704, 70, -3, 47, 7, 5.728000000000001
2684, 183.7788792614786, 6.992161939061041, 1.0, 183.7778153542226, 6.869888794848604, 1.0, 183.9982721106344, -22.25111977909346, -12.0, 183.9359859526663, -1.954493354789645, -2.512034746714317, 69, 4, 52, 12, 12.368
