time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, velocity, turn_rate, reflection, error, command
107, 3.999390780625565, 0.06980962574913406, 1.0, 3.999390780625565, 0.06980962574913406, 1.0, 9.523, 0.0, -0.0, 3.999789193948692, 0.04106584920915962, 0.5882352941176469, 89, 15, 54, 14, 13.61066666666667
213, 13.99329905081652, 0.4188045927741437, 2.0, 13.99329905081652, 0.4188045927741437, 2.0, 19.16842611123145, 0.1052194505528832, 0.625, 13.99600406064968, 0.3161809864629419, 1.576492537313433, 91, 11, 47, 7, 10.034
315, 22.98096486360769, 0.8898281989606382, 3.0, 22.98096486360769, 0.8898281989606382, 3.0, 28.34283390326675, 0.4255968302818421, 2.0, 22.98567324578672, 0.7472818352182314, 2.745523822369087, 90, 3, 34, -6, 0.2900000000000007
433, 33.965889745908, 1.465523717633021, 3.0, 33.965889745908, 1.465523717633021, 3.0, 39.89724593980908, 0.8964030428635843, 2.333333333333333, 33.972058022822, 1.294410276196756, 2.851008238659588, 98, 0, 25, -15, -9.222
544, 43.95979801609896, 1.81451868465803, 2.0, 43.95979801609896, 1.81451868465803, 2.0, 49.32615536671751, 1.235360295563077, 2.058823529411764, 43.96589285730969, 1.645501861086468, 2.012020101902397, 85, -10, 30, -10, -6.902
644, 52.95842727250649, 1.971590342593582, 1.0, 52.95842727250649, 1.971590342593582, 1.0, 58.42503272230061, 1.378296883100645, 0.9, 52.96457425269269, 1.799557514627651, 0.9807966507312146, 91, -2, 43, 3, 2.281333333333333
763, 62.9569042240704, 2.146114406966417, 1.0, 63.95675191922679, 2.163566813403701, 1.0, 69.0115522006212, 1.686333139308938, 1.666666666666667, 63.96246289015508, 2.015069736962244, 1.122611896691087, 89, 5, 42, 2, 2.532666666666667
880, 73.95020332128046, 2.530008870693928, 2.0, 73.95066018941775, 2.51256178042871, 2.0, 79.76634200393727, 2.13152106197612, 2.37037037037037, 73.95596187134233, 2.375594511436304, 2.066102543851329, 92, 0, 35, -5, -2.745333333333333
993, 83.94868027284437, 2.704532935066763, 1.0, 83.94913714098166, 2.687085844801546, 1.0, 90.26852056960706, 2.510105761595687, 2.064516129032258, 83.95381934506245, 2.582587108353631, 1.186064926433989, 93, -3, 38, -2, -1.063333333333333
1103, 93.94715722440829, 2.879056999439598, 1.0, 93.94304541117263, 3.036080811826555, 2.0, 100.4933111736344, 2.836536617664739, 1.828571428571429, 93.94790616912244, 2.926430900140701, 1.970468214271571, 93, 3, 40, 0, 0.29
1212, 103.9456341759722, 3.053581063812433, 1.0, 103.9415223627365, 3.21060487619939, 1.0, 110.1847917341203, 3.26619409255029, 2.538461538461538, 103.9454791185034, 3.146737781118594, 1.262367577091956, 89, -1, 36, -4, -3.248
1313, 112.9442634323797, 3.210652721747985, 1.0, 112.9401516191441, 3.367676534134942, 1.0, 119.1590150602128, 3.781399579143802, 3.285714285714286, 112.9428418857288, 3.364598367152106, 1.387079052877986, 89, -6, 37, -3, -3.093333333333333
1413, 121.9428926887873, 3.367724379683536, 1.0, 121.9387808755516, 3.524748192070494, 1.0, 127.9464131356535, 4.252180912399434, 3.066666666666667, 121.9403501087101, 3.576366583328925, 1.348282768439588, 88, -4, 44, 4, 2.262
1513, 130.9415219451948, 3.524796037619088, 1.0, 130.9374101319591, 3.681819850006045, 1.0, 137.3345817076554, 4.723658232823992, 2.875, 130.937980136479, 3.782894749427431, 1.314914561843448, 94, 2, 44, 4, 3.016
1632, 140.9399988967587, 3.699320101991923, 1.0, 141.9357347786794, 3.873796320816164, 1.0, 148.0220160744965, 5.418529914837259, 3.72, 141.9344297509196, 4.062351145077007, 1.45576317326505, 90, 0, 36, -4, -3.112666666666666
1733, 150.9384758483226, 3.873844166364758, 1.0, 150.9343640350869, 4.030867978751716, 1.0, 156.9805318960139, 6.158202325856161, 4.72, 150.9308222720029, 4.317148332261296, 1.622306035689559, 89, -7, 36, -4, -3.905333333333333
1852, 160.9369527998865, 4.048368230737593, 1.0, 161.9326886818072, 4.222844449561834, 1.0, 167.7728077699946, 7.04928170497772, 4.72, 161.9264169645855, 4.628431734403617, 1.621600586834066, 91, 0, 45, 5, 3.112666666666666
1963, 170.9354297514504, 4.222892295110428, 1.0, 171.9311656333711, 4.397368513934669, 1.0, 177.4921713371343, 8.022829777625526, 5.72, 171.9215477190982, 4.940459297597248, 1.788076475140333, 88, 2, 44, 4, 3.596
2075, 180.9339067030143, 4.397416359483262, 1.0, 181.929642584935, 4.571892578307504, 1.0, 187.3916898141283, 9.189259339860167, 6.720000000000001, 181.9157298675305, 5.281521145299063, 1.954519494138109, 89, 2, 40, 0, 0.8893333333333333
2184, 190.9323836545782, 4.571940423856097, 1.0, 190.9282718413426, 4.728964236243056, 1.0, 197.2425449278225, 10.34995504890966, 6.720000000000001, 190.9104957434227, 5.588419887372004, 1.954156913792333, 91, -1, 37, -3, -1.624
2302, 201.9307083012985, 4.763916894666216, 1.0, 201.9265964880629, 4.920940707053174, 1.0, 207.766289170212, 11.77656190462453, 7.72, 201.9029619313527, 5.995466699439651, 2.120671838178555, 90, -3, 41, 1, 1.198666666666667
2412, 211.9291852528624, 4.938440959039051, 1.0, 211.9250734396268, 5.095464771426009, 1.0, 217.6605838464821, 13.29413656807027, 8.719999999999999, 211.8949952703019, 6.394552847191891, 2.287202604028463, 91, -2, 38, -2, -0.9859999999999999
2523, 221.9276622044263, 5.112965023411886, 1.0, 221.9189817098177, 5.444459738451019, 2.0, 227.5351097022203, 14.80867911430631, 8.719999999999999, 221.8801695170737, 6.938882950719922, 3.120323950303216, 90, -1, 37, -3, -2.010666666666666
2623, 230.9262914608338, 5.270036681347437, 1.0, 230.9176109662253, 5.60153139638657, 1.0, 236.3073465990464, 16.31129677224965, 9.719999999999999, 230.8719183128005, 7.32417971237809, 2.453625241109427, 89, -1, 36, -4, -3.422
2724, 239.9249207172414, 5.427108339282989, 1.0, 239.9162402226328, 5.758603054322122, 1.0, 245.0677557607307, 17.81188842885642, 9.719999999999999, 239.8636677083574, 7.709462475425779, 2.453536041411909, 88, -4, 44, 4, 2.552
2825, 248.9235499736489, 5.58417999721854, 1.0, 248.9148694790403, 5.915674712257673, 1.0, 253.927715026525, 19.32953226337919, 9.719999999999999, 248.8554175204305, 8.094735517675133, 2.453474100105418, 89, 5, 47, 7, 5.8
2935, 258.9174582438399, 5.93317496424355, 2.0, 258.9087777492313, 6.264669679282683, 2.0, 263.5136127623658, 21.318166115551, 11.72, 258.8354638156468, 8.726143424926446, 3.620108963638706, 89, 3, 37, -3, -1.392
3035, 267.9119756870117, 6.247270434566059, 2.0, 267.9032951924031, 6.578765149605192, 2.0, 272.5218108389474, 23.18695380094227, 11.72, 267.8175058115656, 9.294405321898047, 3.62007566848666, 92, -2, 34, -6, -4.485333333333332
3143, 277.9104526385757, 6.421794498938894, 1.0, 277.901772143967, 6.753289213978027, 1.0, 281.8979106715089, 25.30338852231733, 12.72, 277.8042235464584, 9.809642047664266, 2.953396692737661, 89, -5, 38, -2, -2.184666666666667
3252, 286.9090818949832, 6.578866156874446, 1.0, 286.9004014003746, 6.910360871913579, 1.0, 291.254501349196, 27.41541950935745, 12.72, 286.7922696645481, 10.27335206382882, 2.953377332721451, 88, 1, 45, 5, 3.441333333333333
3362, 296.9075588465471, 6.753390221247281, 1.0, 297.8987260470948, 7.102337342723697, 1.0, 300.765157294572, 29.73738494594008, 13.72, 297.7759643747049, 10.87205943314669, 3.120033162119947, 89, 6, 45, 5, 4.272666666666666
3473, 306.901467116738, 7.10238518827229, 2.0, 306.8932434902667, 7.416432813046206, 2.0, 310.3199197777388, 32.24759507464793, 14.72, 306.7527059984376, 11.51867355358037, 4.120023029199931, 89, 0, 33, -7, -5.278
3573, 315.9000963731456, 7.259456846207842, 1.0, 316.8917204418306, 7.590956877419041, 1.0, 319.1212497298411, 34.55986475490317, 14.72, 316.736257679222, 12.09199356640561, 3.286683916412602, 91, -6, 34, -6, -5.51
3691, 326.8984210198659, 7.45143331701796, 1.0, 327.8900450885509, 7.782933348229159, 1.0, 329.2785648020364, 37.22837642325926, 14.72, 327.7181645861, 12.72264457026293, 3.286678645644349, 89, 0, 46, 6, 3.847333333333333
3791, 335.8970502762734, 7.608504974953512, 1.0, 335.888826649802, 7.922552599727427, 1.0, 337.8864589310156, 39.48982698966274, 14.72, 335.7050060022208, 13.18129933556894, 3.286674985395116, 89, 4, 48, 8, 6.631333333333333
3903, 345.8909585464643, 7.957499941978521, 2.0, 345.882734919993, 8.271547566752437, 2.0, 347.0039735967083, 42.22868191843825, 16.72, 345.6748149878896, 13.95777135005363, 4.453339531281427, 85, 3, 40, 0, 1.508
4013, 355.8848668166553, 8.306494909003531, 2.0, 355.8766431901839, 8.620542533777448, 2.0, 356.1693743688385, 44.98192158948675, 16.72, 355.6446239992234, 14.73424303500247, 4.453337637462443, 87, -1, 36, -4, -2.204
4123, 365.8833437682192, 8.481018973376367, 1.0, 365.8751201417479, 8.795066598150283, 1.0, 365.599671795846, 47.99514087094894, 17.72, 365.6227925992027, 15.39466062288582, 3.786670061755605, 90, -2, 35, -5, -3.634666666666666
4241, 375.8818207197832, 8.655543037749203, 1.0, 376.8734447884682, 8.987043068960402, 1.0, 375.9406120855019, 51.29933365070182, 17.72, 376.5987780723332, 16.12111977082799, 3.786669024366918, 92, -5, 40, 0, -0.4253333333333334
4342, 384.8804499761907, 8.812614695684754, 1.0, 385.8720740448757, 9.144114726895953, 1.0, 384.599339723027, 54.06601680913528, 17.72, 385.5791298305498, 16.71549532441165, 3.786668303958316, 90, 3, 44, 4, 2.977333333333333
4452, 394.8789269277546, 8.98713876005759, 1.0, 395.8705509964396, 9.318638791268789, 1.0, 394.3923361966727, 57.38457373454183, 18.72, 395.5553351671194, 17.40493501183743, 3.953334538344201, 94, 0, 32, -8, -6.631333333333333
4562, 404.8774038793185, 9.161662824430426, 1.0, 405.8705509964396, 9.318638791268789, 3.975693351829396e-16, 403.4560669754724, 60.45600408039682, 18.72, 405.5405124829758, 17.94920881325243, 3.120000884037267, 87, -9, 23, -17, -15.544
4662, 413.876033135726, 9.004591166494874, -1.0, 414.8691802528472, 9.161567133333238, -1.0, 412.2195756955198, 63.25616745306876, 17.72, 414.5343523558696, 18.28214175056343, 2.120000613914745, 92, -16, 21, -19, -20.04866666666667
4765, 423.8623284832718, 8.481231604065435, -3.0, 423.8568460656382, 8.690543527146744, -3.0, 420.9003690705028, 65.86383353231469, 16.72, 423.5342397082298, 18.32717112794036, 0.28666711577036, 88, -21, 22, -18, -22.54266666666667
4876, 433.8075474369545, 7.4359469713889, -6.0, 433.802065019321, 7.645258894470209, -6.0, 430.6698453173364, 68.430452877398, 14.72, 433.5243633386082, 17.88284033927519, -2.546666338973816, 91, -24, 23, -17, -24.94
4992, 443.7102281243702, 6.044215961788246, -8.0, 443.7047457067367, 6.253527884869555, -8.0, 440.6273179651502, 70.67811888195445, 12.72, 443.4928943333158, 17.09012992080439, -4.546666439102191, 88, -24, 19, -21, -31.28133333333333
5112, 454.4698517324421, 3.757187362792893, -12.0, 454.4643693148085, 3.966499285874202, -12.0, 451.3905569441773, 72.52178009821751, 9.719999999999999, 454.3754502561258, 15.48701526897394, -8.379999834342144, 91, -34, 17, -23, -36.73333333333334
5223, 464.0824686918253, 1.000813804622902, -16.0, 464.0769862741918, 1.21012572770421, -16.0, 461.22036782458, 73.50639121714541, 5.72, 464.1429220164301, 13.34307137706371, -12.37999988495982, 89, -39, 19, -21, -39.16933333333334
5333, 473.4182729567973, -2.582865690830101, -21.0, 473.4127905391638, -2.373553767748792, -21.0, 471.3289663376141, 73.98663709404989, 2.72, 473.7035850792966, 10.41156633726938, -17.04666657942139, 92, -42, 21, -19, -41.25733333333334
5433, 481.5750430401271, -6.386430046496396, -25.0, 481.5695606224936, -6.177118123415087, -25.0, 480.426695594486, 73.78335805268836, -1.28, 482.1031791602339, 7.179412368863227, -21.04666660607967, 91, -39, 27, -13, -39.51733333333333
5541, 489.4466204043817, -10.74971662871343, -29.0, 490.3157576938876, -11.02521432587846, -29.0, 490.1054524772089, 72.8888944116474, -5.28, 491.1628118571817, 2.94584940176397, -25.04666662459238, 90, -37, 37, -3, -33.48533333333334
5653, 497.9271013659459, -16.04890927104548, -32.0, 498.7962386554519, -16.32440696821051, -32.0, 500.0803797527237, 71.4372657235207, -8.280000000000001, 499.9884610751291, -1.756056156809458, -28.0466666374484, 90, -26, 50, 10, -23.10333333333333
