time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, velocity, turn_rate, reflection, error, command
120, 4.993147673772869, 0.2616797812147192, 3.0, 4.993147673772869, 0.2616797812147192, 3.0, 12.0, 0.0, 0.0, 4.99994437237857, 0.02358544296516042, 0.2702702702702706, 100, 62, 82, 42, 53.82999999999999
225, 12.89465439853397, 1.513155501536566, 9.0, 13.88234273912911, 1.669589966576797, 9.0, 19.4538645673909, -0.1301076899899486, -1.0, 13.97829012034607, 0.6475306568693765, 3.975347377857461, 71, 45, 18, -22, -2.263333333333331
336, 22.77153780448535, 3.077500151938874, 9.0, 22.77153780448535, 3.077500151938875, 9.0, 27.58792648403416, -1.273275541275926, -8.0, 22.96896347878405, 1.05715556074297, 2.608654303376127, 74, -15, 10, -30, -16.73
454, 31.70445316925725, 4.174324242585202, 7.0, 31.72223486279981, 4.018256321347756, 6.0, 37.44562751092448, -2.309361669184907, -6.000000000000001, 31.96274339802007, 1.39170415862819, 2.130293307761844, 84, -23, 13, -27, -20.11333333333333
570, 40.68252962159566, 4.80213250628233, 4.0, 41.69787536539805, 4.715821058789009, 3.999999999999999, 46.45919713925859, -3.097946829565719, -5.0, 41.96006147777366, 1.62328829502786, 1.32699799400239, 78, -16, 23, -17, -17.24333333333333
670, 49.67019543438683, 5.273156112468825, 3.0, 49.68691164343465, 5.13450870873256, 3.0, 54.6479593242461, -3.527101670757858, -3.0, 49.95801842256604, 1.804077424256947, 1.294916995498828, 82, -16, 45, 5, 0.7233333333333332
786, 57.65923171242342, 5.691843762412375, 3.0, 58.6745774562258, 5.605532314919055, 3.0, 63.79940038073702, -4.006708373768196, -3.0, 58.9555766144225, 2.013711830204029, 1.334694786372248, 79, 5, 63, 23, 20.09
894, 66.62498399524913, 6.476245447141299, 5.000000000000001, 66.64413504095977, 6.30277825690032, 4.999999999999999, 72.5141115996436, -4.769146811324709, -5.0, 66.94935803904928, 2.329082303285747, 2.259260057459537, 81, 15, 38, -2, 0.7233333333333335
1008, 75.60306044758754, 7.104053710838427, 4.000000000000001, 76.61977554355801, 7.000342994341572, 3.999999999999999, 81.33983198003824, -5.85280901288328, -7.0, 76.94781852434267, 2.504547183038516, 1.005391300613072, 78, -11, 25, -15, -13.18333333333333
1119, 84.59072626037871, 7.575077317024921, 3.000000000000001, 85.60744135634918, 7.471366600528067, 3.0, 90.06079448052263, -6.769419107277333, -6.000000000000001, 85.9473907476556, 2.592295672338413, 0.5586330836135498, 79, -10, 42, 2, 0.7699999999999997
1235, 93.57839207316987, 8.046100923211416, 3.000000000000001, 94.59510716914034, 7.942390206714562, 3.0, 99.30548127881403, -7.578224399975601, -5.0, 94.94643722513262, 2.723301382932816, 0.8340377113657349, 80, 14, 57, 17, 17.5
1345, 102.5441443559956, 8.830502607940339, 5.000000000000001, 103.560859451966, 8.726791891443485, 4.999999999999999, 108.1490674899382, -8.664080249715465, -7.0, 103.9422185937315, 2.998832811935835, 1.754361675992607, 81, 4, 28, -12, -8.516666666666666
1448, 110.5246567580742, 9.388554397893342, 4.000000000000001, 111.5413718540446, 9.284843681396486, 3.999999999999999, 116.1858875173609, -9.936987491747823, -9.0, 111.9419310372042, 3.066662169510682, 0.4857978101263916, 79, -10, 24, -16, -13.95333333333333
1556, 119.519174201246, 9.70264986821585, 2.000000000000001, 119.5304081320812, 9.703531331340036, 3.0, 124.741803631288, -11.13944308404279, -8.0, 119.9419301288864, 3.070474397667028, 0.02730307402077248, 80, -9, 48, 8, 6.93
1675, 129.5054695487918, 10.22600943064529, 3.000000000000001, 129.516703479627, 10.22689089376948, 3.0, 134.286997545888, -12.48093260419686, -8.0, 129.9419289551321, 3.075319507042445, 0.02776043293519637, 81, 12, 54, 14, 15.61
1785, 138.4712218316175, 11.01041111537421, 5.000000000000001, 138.4824557624527, 11.0112925784984, 4.999999999999999, 142.9533057723954, -14.00903656766585, -10.0, 138.940698934308, 3.22411084376214, 0.9472782240371727, 80, 2, 28, -12, -8.539999999999999
1896, 146.4517342336961, 11.56846290532722, 4.000000000000001, 147.4701215752438, 11.48231618468489, 2.999999999999999, 151.4522339266853, -15.66106084963597, -11.0, 147.9398598789074, 3.101219455956608, -0.782375186647891, 78, -15, 25, -15, -15.61
2000, 155.4462516768679, 11.88255837564973, 2.000000000000001, 155.4652481913966, 11.7615121583049, 1.999999999999999, 159.6458344317469, -17.10581368782483, -10.0, 155.937980504651, 2.927822639220067, -1.241960478547084, 80, -3, 54, 14, 10.94333333333333
2105, 163.4352879549045, 12.30124602559328, 3.000000000000001, 163.4542844694332, 12.18019980824845, 2.999999999999999, 167.7884319184452, -18.68857430447327, -11.0, 163.9372349346378, 2.818604672126337, -0.7822403709581507, 79, 13, 59, 19, 19.20333333333333
2215, 172.4010402377303, 13.0856477103222, 5.000000000000001, 172.4200367522589, 12.96460149297737, 4.999999999999999, 176.3961308049027, -20.51819718366955, -12.0, 172.9370075216539, 2.882584215686619, 0.407309855231051, 80, 7, 27, -13, -9.659999999999998
2326, 181.3791166900687, 13.71345597401933, 4.000000000000001, 181.3981132045973, 13.5924097566745, 3.999999999999999, 184.9046540286169, -22.63961028618304, -14.0, 181.9359870267981, 2.747056115301002, -0.8628312960784747, 79, -12, 26, -14, -15.21333333333333
2426, 189.3742433062215, 13.99265194763934, 2.000000000000001, 189.3932398207501, 13.87160573029451, 1.999999999999999, 192.6996145468988, -24.43921872093396, -13.0, 189.9308552009066, 2.460555018222805, -2.052351826169631, 80, -9, 49, 9, 5.203333333333332
2545, 198.3619091190126, 14.46367555382583, 3.000000000000001, 199.3795351682958, 14.39496529272395, 3.0, 202.0915676013637, -26.60752193375448, -13.0, 199.9281914129849, 2.229754969114837, -1.322504303648392, 81, 13, 55, 15, 15.14333333333333
2659, 207.3276614018383, 15.24807723855475, 5.000000000000001, 208.3452874511216, 15.17936697745287, 4.999999999999999, 210.9678581016581, -29.15275727736864, -16.0, 208.9275700309535, 2.12399821779705, -0.6732838846298161, 81, 4, 24, -16, -13.16
2768, 216.3153272146295, 15.71910084474125, 3.0, 217.3329532639127, 15.65039058363936, 2.999999999999999, 219.245282565383, -31.52627054830882, -16.0, 217.9213343131012, 1.789029507072047, -2.132969681186137, 79, -18, 27, -13, -14.91
2874, 225.3098446578014, 16.03319631506376, 2.0, 225.3280798800655, 15.92958655725937, 1.999999999999999, 227.3339454347276, -33.69362123199734, -15.0, 225.9131453192349, 1.427149910741659, -2.592656390890738, 79, -9, 60, 20, 15.33
2976, 233.298880935838, 16.45188396500731, 3.0, 233.3171161581021, 16.34827420720292, 2.999999999999999, 235.1173757429649, -35.77918509743345, -15.0, 233.9089175171848, 1.16709807265734, -1.862812258731037, 79, 26, 66, 26, 26.27333333333334
3076, 241.2550560987841, 17.28811167114854, 6.000000000000001, 241.2732913210482, 17.18450191334415, 5.999999999999999, 242.5356165700672, -38.18951765355804, -18.0, 241.9086323805451, 1.09955471671455, -0.4837494010008951, 78, 14, 19, -21, -15.54
3177, 249.2355685008627, 17.84616346110154, 4.000000000000001, 249.2538037231268, 17.74255370329715, 3.999999999999999, 250.0334239913179, -40.91849637715355, -20.0, 249.9011168055215, 0.7528665044698027, -2.483749253287154, 79, -21, 13, -27, -23.96333333333333
3288, 258.2300859440346, 18.16025893142405, 2.000000000000001, 258.2483211662987, 18.05664917361966, 1.999999999999999, 258.4192603963578, -43.48230385586723, -17.0, 258.8876652973273, 0.2609862299889411, -3.132968096561651, 79, -19, 57, 17, 14.81666666666667
3395, 266.2105983461132, 18.71831072137705, 4.000000000000001, 266.2288335683773, 18.61470096357266, 3.999999999999999, 266.6052291074014, -45.98500564829386, -17.0, 266.8842539860147, 0.02738540816685178, -1.673280491105485, 80, 30, 65, 25, 29.65666666666667
