temps, erreur, distance
276, 20, 8
406, -15, 42
531, 20, 79
663, 31, 119
789, 34, 157
929, 35, 199
1040, 36, 233
1180, 37, 275
1298, 47, 310
1419, 41, 346
1540, 35, 382
1650, 38, 415
1766, 38, 450
1897, 40, 490
2021, 36, 527
2147, 38, 565
2266, 35, 600
2389, 40, 637
2517, 37, 676
2640, 33, 713
2751, 34, 746
2868, 46, 781
3006, 38, 822
3126, 42, 858
3240, 17, 893
3367, -17, 931
3495, -23, 969
3614, -23, 1005
