Time, Speed, Distance, Color, P, PI, PID, x_PID, y_PID, x_state, y_state, x_gyro, y_gyro, state_distance, state_angle
,150,,,,,,14.90083206256289,1.721976725538943,0.0,0.0,15.0,0.0,0,0
,150,,,,,,29.57031892948217,4.853454820829199,7.19561395453749,0.251276376258007,30.0,0.0,3,2
,150,,,,,,44.3805725066539,7.231771237934311,24.18385341277386,2.941949174949978,44.97944302131861,0.7850393436441575,19,9
,150,,,,,,59.33367288305174,8.417009244990789,39.54685435976431,5.650860746554091,59.94290377521597,1.831386449806037,35,10
,150,,,,,,74.31564965878113,9.152109164392986,54.78863324056801,6.984343610593261,74.92234679653459,2.616425793450194,52,5
,150,,,,,,88.99662285730081,12.22928740823046,69.86793921536208,7.774616549861713,89.91320920182103,2.09293334291268,67,3
,150,,,,,,103.2243824869334,16.98016689748257,85.30895703578414,9.125530562450415,104.8561296731972,0.7855972016978074,83,5
,150,,,,,,117.8816259476565,20.16846019219214,100.2808073432647,13.13722576153949,119.8195904270946,1.831944307859687,100,15
,150,,,,,,132.7301307662303,22.29493724421774,114.242856780325,17.40585265049145,134.5439981788095,4.694079238507859,115,17
,150,,,,,,147.6940647967183,23.33449403978118,129.4580781237638,20.36339207882789,149.3161144739926,7.298801903511814,130,11
,150,,,,,,162.6935729275664,23.21302045161781,143.2544696315782,22.05737595215944,164.27957522789,8.345149009673694,145,7
,150,,,,,,177.6381244471015,21.92446316536234,158.6333644667986,22.86334967830078,179.27957522789,8.345149009673694,161,3
,150,,,,,,192.6378556633931,21.83466651170391,173.3244096239793,22.35032707677401,194.2224956992662,7.037812868458822,177,-2
,150,,,,,,207.5424090320761,23.52413059243455,188.8149674427753,21.80938487788525,208.8947097102733,3.919137506192432,193,-2
,150,,,,,,222.2687615660105,26.37624227437882,203.7327958732994,23.37731182690005,223.7829019848931,2.091097355115219,210,6
,150,,,,,,237.2069325986305,27.73677386173519,218.3590409066696,26.22036585801057,238.7737643901795,2.614589805652734,226,11
,150,,,,,,252.2063545702272,27.86845726228885,233.8687504051427,29.23514798495998,253.7166848615557,3.921925946867606,242,11
,150,,,,,,267.1746310302952,26.89341889638948,249.8078655746106,30.62963986892251,268.7144002889017,4.183712043426859,259,5
,150,,,,,,282.0632376908402,25.06875681601056,264.4078655746106,30.62963986892251,283.6573207602778,2.876375902211987,274,0
,150,,,,,,297.0502984896782,25.69166018888152,279.4871715494047,29.83936692965406,298.4294370554609,0.271653237208032,290,-3
,150,,,,,,311.8515657614278,28.1252762535547,293.967299803346,29.08049556413137,313.0449880272395,-3.102612577949943,304,-3
,150,,,,,,326.4331326519155,31.64350123473962,309.4818413710911,30.71113959110676,327.8603131361665,-5.449129553553407,319,6
,150,,,,,,341.3045320541404,33.60347057621054,323.813598249427,33.49695092360432,342.851175541453,-4.925637103015892,334,11
,150,,,,,,356.2817965292517,34.42903029092922,338.8811568705138,36.15376804190835,357.8146362953504,-3.879289996854012,351,10
,150,,,,,,371.2780535460736,34.09395494802562,354.4431560545671,37.2419690323167,372.8123517226963,-3.61750390029476,367,4
,150,,,,,,386.2555049492235,34.91611640800898,369.0409324038504,36.98716389833236,387.7005439973161,-5.445544051371972,383,-1
,150,,,,,,400.9666709382886,37.8455524018779,384.2386173702275,36.72188732048565,402.4726602924993,-8.050266716375926,399,-1
,150,,,,,,415.7061544500631,40.62900813282243,399.7223373358322,38.62304907760595,417.4155807638754,-9.357602857590798,415,7
,150,,,,,,430.630524766955,42.13339194165433,414.2967365867658,41.72093327079057,432.3585012352516,-8.050266716375926,430,12
,150,,,,,,445.6249581038191,42.54201023094039,429.5468648453861,43.86419902557557,447.3014217066278,-6.742930575161054,445,8
,150,,,,,,460.6056954442717,41.78207027517473,444.2379100025668,44.37722162710233,462.3014217066277,-6.742930575161054,462,2
,150,,,,,,475.5996852474565,41.35748838438192,458.9289551597475,43.86419902557557,477.1167468155548,-9.089447550764518,477,-2
,150,,,,,,490.5214873021475,42.88713652713268,474.108124088017,43.06869249068282,491.9320719244819,-11.43596452636798,493,-3
,150,,,,,,505.298217207333,45.46555722771574,489.0875671093356,43.85373183432698,506.7860929556055,-13.52356104076897,509,3
,150,,,,,,520.2607036627617,46.52574545209496,504.1991987204413,46.24717914944251,521.7860929556054,-13.52356104076897,526,9
,150,,,,,,535.2606656442391,46.49197335960145,518.558085717194,48.26518911336346,536.7655359769241,-12.73852169712481,542,8
,150,,,,,,550.2120754878455,45.28559709636072,534.6482780322015,48.82707101027372,551.7563983822105,-13.26201414766232,559,2
,150,,,,,,565.168726214104,44.14603619289346,548.4293656118146,48.1048348141211,566.5717234911376,-15.60853112326579,574,-3
,150,,,,,,580.1136145650022,45.4306809605967,563.8916083908419,47.02360947108716,581.187274462916,-18.98279693842376,590,-4
,150,,,,,,594.7848480912199,48.5539655808617,578.6893542791565,47.28190508635896,595.9116822146309,-21.84493186907193,605,1
,150,,,,,,609.7048782181633,50.10080138698411,593.9985235583811,49.70663929448254,610.8911252359495,-22.62997121271609,621,9
,150,,,,,,624.6994814011924,50.50313878705705,607.6925899686544,52.61740296593117,625.8340457073257,-21.32263507150122,636,12
,150,,,,,,639.6878242561296,49.91188717999631,623.7313246079315,54.02061042416847,640.7769661787019,-20.01529893028635,652,5
,150,,,,,,654.5882953419213,48.18678966927801,637.8227352689008,54.51269332767373,655.7678285839883,-20.53879138082386,668,2
,150,,,,,,669.3182697701666,45.35344300089493,653.3132930876967,53.97175112878497,670.6560208586081,-22.36683153190107,683,-2
,150,,,,,,684.1810463261289,43.32912260937101,667.9037215168242,52.1802717807293,685.4281371537913,-24.97155419690503,698,-7
,150,,,,,,699.1798520992814,43.1398466752278,683.0548229685702,50.05092333604029,699.847062592866,-29.10611453416001,713,-8
,150,,,,,,714.1021605840442,44.6645464770164,698.2525079349473,49.78564675819358,714.4626135646445,-32.48038034931799,728,-1
,150,,,,,,729.1020569327557,44.60878333585824,712.7725276073241,51.31176232190132,729.4055340360207,-33.78771649053287,745,6
,150,,,,,,744.0559195845289,43.43320186615844,727.4890838821916,53.64263585100076,744.396396441307,-33.26422403999535,760,9
,150,,,,,,758.8802652986201,41.14436501109326,743.679215279901,54.20800769758128,759.3872588465935,-33.78771649053287,776,2
,150,,,,,,773.4923930436619,37.75530573710862,757.4708086927646,53.72639464308676,774.3050872771176,-35.35564343954767,791,-2
,150,,,,,,788.2679062560574,35.16992195315604,772.8858980709727,52.10620346243814,789.1204123860446,-37.70216041515114,807,-6
,150,,,,,,803.2560938080453,34.57474642741844,787.7740903455926,50.27816331136092,803.5393378251193,-41.83672075240612,822,-7
,150,,,,,,818.2433279699564,35.19346459915796,803.1740903455926,50.27816331136092,818.1548887968978,-45.2109865675641,837,0
,150,,,,,,833.214219999835,34.25944541856321,818.3902753447272,51.87744879935602,833.1183495507952,-46.25733367372598,853,6
,150,,,,,,848.0691505027474,32.17833039203486,832.9102950171039,53.40356436306376,848.1183495507953,-46.25733367372598,869,6
,150,,,,,,862.716869603654,28.94656227830197,848.9078581396063,53.12432586006723,863.0361779813192,-47.82526062274079,886,-1
,150,,,,,,877.390931690447,25.8365941316899,862.9542033826999,51.89542988732525,877.7083919923264,-50.94393598500718,900,-5
,150,,,,,,892.3343757562007,24.53525656837575,878.369292760908,50.27523870667661,892.1972793866624,-54.82622166154499,916,-6
,150,,,,,,907.3247756201045,25.07183081325599,893.0603379180887,49.76221610514985,906.8128303584409,-58.20048747670296,932,-2
,150,,,,,,922.2921092142853,24.08242438487972,908.6743316753708,51.40331297845201,921.7010226330608,-60.02852762778017,948,6
,150,,,,,,937.1463123660119,21.99612413629684,923.2921191161788,53.71854306104743,936.6918850383472,-59.50503517724266,963,9
,150,,,,,,951.793749386173,18.76307778024014,938.8707398583501,54.53498397843735,951.689600465693,-59.2432490806834,978,3
,150,,,,,,966.144277764632,14.397034347217,953.261967767425,54.03243122592134,966.5777927403129,-61.07128923176061,994,-2
,150,,,,,,980.2251953999892,9.227144740437398,968.3787005770228,52.44359858425301,981.3022004920279,-63.93342416240879,1010,-6
,150,,,,,,994.8724631181607,5.9933314508039,983.1508168722058,49.83887591924905,995.791087886364,-67.81570983894659,1025,-10
